fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.6013513513513513,0.5947368421052631,0.5545329067068198,0.5479048594514624,0.1373913043478261,0.3928571428571428,0.20190537555228275
2,0.6013513513513513,0.5857163181106843,0.5519661416479159,0.5301983280706685,0.054959349593495924,0.046153846153846156,0.03579169970922548
3,0.5878378378378378,0.5523679417122039,0.5475912975912977,0.5470007292055725,0.11587107303141572,0.3105590062111801,0.1356254150552756
4,0.5918367346938775,0.6263010668748373,0.5636363636363636,0.5515250140759966,-0.014227642276422772,-0.03584229390681004,-0.03966027738818763
5,0.6122448979591837,0.5674509803921569,0.5263982924823737,0.5247428543572578,0.11879770992366412,0.10389610389610388,0.08456782768709373
6,0.6054421768707483,0.5529100529100529,0.5454053900224821,0.5476540825119072,0.17104072398190046,0.20833333333333331,0.19504716981132075
7,0.6870748299319728,0.6545965450075039,0.6363613308987625,0.6384479717813051,0.23871582962492052,0.12121212121212122,0.16393939393939394
8,0.5578231292517006,0.5410533910533911,0.5263775680442347,0.5220306513409962,0.09722222222222221,0.13286713286713286,0.08106122600803452
9,0.6122448979591837,0.6062335062335062,0.5874686110535167,0.5687830687830688,0.12327272727272727,0.22857142857142854,0.1476190476190476
10,0.5986394557823129,0.5527305471688119,0.5555555555555556,0.5528396775216113,0.10317460317460317,0.26666666666666666,0.15089285714285713
