fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.4496,0.21998526188496711,0.2625,0.21604792493230052,0.17135412358342295,0.15661285754743703,0.17021039057067644
2,0.464,0.20801992444756462,0.260146804835924,0.21920335329532187,0.17730180581423594,0.1976284584980238,0.18202935927265257
3,0.4656,0.24114853195164077,0.26196912843254305,0.19966803630707802,0.09126762807744404,0.05757575757575761,0.08870523415977966
4,0.4416,0.31373365408339504,0.26416985959477507,0.1969015327762775,0.08663190929337927,0.05542638565964142,0.08312603686651798
5,0.4752,0.3929824561403509,0.27035049392097266,0.2065409094711077,0.08213552361396304,0.03913043478260869,0.07987650143799696
6,0.44,0.21240461567094732,0.25604243542435423,0.1743409391966268,0.04380982854704951,0.032863849765258246,0.044816540267244465
7,0.48717948717948717,0.24743150684931509,0.26083333333333336,0.19990029910269194,0.06888683652958116,0.06422018348623848,0.06733929378047071
8,0.4519230769230769,0.2175551470588235,0.2552514097744361,0.2044572566821154,0.1372631923512323,0.1214071214071214,0.13577954854550595
9,0.4358974358974359,0.20242645836795747,0.25003046180090166,0.19698795180722894,0.14574041034790364,0.17333333333333334,0.14890286272145176
10,0.42948717948717946,0.20059830480305801,0.2513855095971884,0.19394478555661332,0.149132224011451,0.15246636771300448,0.1503339661649678
