fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8338720103425986,0.7829655436186731,0.7329419058802689,0.7519608356915768,-0.1576910352709419,-0.05007440476190472,-0.058082414238994504,-0.1576910352709419,0.06609042371608431,0.05808241423899452,lr
2,0.8341952165481578,0.7865000816885013,0.7497878674066965,0.7647540600927067,-0.21022274840568744,-0.190619073597797,-0.14402363791692324,-0.21022274840568744,-0.190619073597797,-0.14402363791692324,lr
3,0.8387201034259858,0.7843244843924191,0.7452223576270374,0.761177799258647,-0.18187869822485206,-0.21500439305047758,-0.1446502686219762,-0.18187869822485206,-0.21500439305047758,0.14465026862197622,lr
4,0.8448610213316096,0.7986851739836363,0.7561638225255973,0.7733399753853367,-0.1906993721089102,-0.19215491559086395,-0.135455796481422,-0.1906993721089102,-0.19215491559086395,-0.135455796481422,lr
5,0.8306399482870072,0.768754426331163,0.7388156616408124,0.7515057507908871,-0.1724857685009488,-0.0832729614424857,-0.08724025405175981,-0.1724857685009488,0.09120754666103392,0.08724025405175981,lr
6,0.8380736910148675,0.7869753871985562,0.7411691428046568,0.7591673599895594,-0.17124531845715804,-0.12812900442786634,-0.1058527516725588,-0.17124531845715804,-0.12812900442786634,0.10585275167255881,lr
7,0.8358112475759535,0.7837415296375957,0.7444792061056533,0.7603722439222216,-0.20254805875820062,-0.12114402451481099,-0.10777848670777171,-0.20254805875820062,-0.12114402451481099,0.10777848670777176,lr
8,0.8341952165481578,0.7842768411712511,0.750867346225373,0.7647540600927067,-0.18628908375690692,-0.033692328147852724,-0.06464488485103188,-0.18628908375690692,0.09559744155421102,-0.06464488485103188,lr
9,0.834841628959276,0.7853456642651835,0.7419698277494491,0.7590846082451025,-0.19292965061378659,-0.2277270210409746,-0.15592147989515728,-0.19292965061378659,-0.2277270210409746,-0.15592147989515728,lr
10,0.832579185520362,0.7799417058098663,0.7435980485091648,0.7584502881670645,-0.18898047344155594,-0.16056316590563163,-0.12122633614013192,-0.18898047344155594,-0.16056316590563163,0.12122633614013198,lr
