fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.82,0.7833587011669203,0.7712481787275376,0.7767857142857143,-0.1929824561403508,-0.09659090909090906,-0.2000811688311688
2,0.74,0.6864035087719298,0.6619047619047619,0.6702181633688482,-0.2778171509567683,-0.22988505747126442,-0.3149425287356322
3,0.72,0.6736596736596736,0.6369485294117647,0.6448503297818367,-0.14345991561181437,-0.05901116427432207,-0.09768740031897921
4,0.75,0.675,0.6420598680872653,0.6523432067862607,-0.28273809523809523,-0.23958333333333337,-0.23050595238095242
5,0.7,0.6266666666666667,0.61534725594949,0.6194824961948249,-0.3125,-0.2466843501326259,-0.321394123118261
6,0.7,0.6934731934731935,0.6409168081494058,0.6428571428571428,-0.13333333333333341,-0.24404761904761907,-0.08179392446633826
7,0.71,0.575,0.5677583286278939,0.5704340097763294,-0.39688164422395467,-0.5637254901960784,-0.33602941176470585
8,0.78,0.76875,0.6976102941176471,0.7141372141372141,-0.027100271002710064,-0.1772486772486772,0.036375661375661394
9,0.81,0.7476689976689976,0.7266666666666667,0.735780837157558,-0.13821138211382122,0.007692307692307665,-0.04394796380090499
10,0.72,0.6962168266516093,0.6527472527472528,0.6600291403593979,-0.1907894736842105,0.027272727272727337,-0.10541125541125537
