fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.36486486486486486,0.2802308802308802,0.2894692264257482,0.26264948333913857,0.02295652173913043,-0.07142857142857142,-0.004142120765832105
2,0.40540540540540543,0.389385413218581,0.3883174399085682,0.38854728261507926,-0.3089430894308943,-0.38461538461538464,-0.33663758921490883
3,0.40540540540540543,0.3539303608269126,0.352991452991453,0.3387296799061505,0.15136678906568746,0.11180124223602483,0.15102640728153444
4,0.41496598639455784,0.3951156703816278,0.39294871794871794,0.3699813258636788,0.01930894308943089,-0.01792114695340502,0.008793049711703284
5,0.2789115646258503,0.2653256704980843,0.2571948424570059,0.25900371954325047,-0.010973282442748089,-0.08441558441558442,-0.027426956326038907
6,0.43537414965986393,0.42477904457552934,0.43192748797632263,0.39912073523440156,0.17058823529411765,0.5416666666666667,0.33875786163522015
7,0.3401360544217687,0.34364406779661016,0.34847332116047874,0.3361111111111111,-0.30324221233312143,-0.4329004329004329,-0.3581168831168831
8,0.2857142857142857,0.28835978835978837,0.2904273320939988,0.2842839699982557,-0.3592592592592593,-0.2027972027972028,-0.32480285671775033
9,0.3945578231292517,0.3898148148148148,0.3874490289584629,0.38811194066706606,-0.25309090909090903,-0.34285714285714286,-0.276984126984127
10,0.5170068027210885,0.4919949577663301,0.49934968413229286,0.49223482434900817,-0.09523809523809523,-0.07619047619047614,-0.1020833333333333
