fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.9324324324324325,0.9289865902769129,0.9462011418533157,0.9355819128658331,0.06434782608695655,0.0,-0.010309278350515464,0.06434782608695655,-0.5657894736842104,-0.29024767801857576
2,0.8581081081081081,0.8417729160629769,0.8435033394049788,0.8415665331553183,0.25300813008130085,-0.13076923076923075,0.08066349458102035,0.25300813008130085,-0.6216931216931217,-0.3615711985277203
3,0.8108108108108109,0.7794013191273464,0.7695415695415696,0.7722761996588297,0.12974296205630353,-0.037267080745341685,0.017529981639907766,0.12974296205630353,-0.4444444444444444,-0.2986111111111111
4,0.9251700680272109,0.9417989417989417,0.9219696969696969,0.9266629505759939,0.16361788617886178,0.16129032258064513,0.08064516129032256,0.16361788617886178,0.16129032258064513,0.08064516129032256
5,0.8367346938775511,0.8257638742102915,0.7735299777812767,0.788960113960114,-0.004770992366412208,-0.30519480519480524,-0.17094602645061363,-0.004770992366412208,-0.30519480519480524,0.28258807588075885
6,0.891156462585034,0.8672480620155039,0.8983892541051253,0.8674242424242425,-0.04162895927601812,0.04166666666666663,0.026179245283018848,-0.04162895927601812,-0.15238095238095228,-0.07619047619047614
7,0.9047619047619048,0.9303482587064676,0.894489247311828,0.903639846743295,0.06547997457088367,-0.4069264069264069,-0.20346320346320346,0.06547997457088367,-0.4069264069264069,-0.20346320346320346
8,0.8979591836734694,0.9017556098128124,0.9074074074074074,0.8923090052122311,0.15277777777777773,0.0,-0.016622340425531915,0.15277777777777773,0.09545454545454546,0.04772727272727273
9,0.8231292517006803,0.8554989624599131,0.8126915013707466,0.8205209994683679,0.04327272727272727,0.05714285714285716,0.02857142857142858,0.04327272727272727,-0.3633540372670808,-0.24496815787404674
10,0.9387755102040817,0.9553965730436319,0.9198253437383871,0.9350619714697385,0.10317460317460317,0.19047619047619047,0.09523809523809523,0.10317460317460317,-0.19999999999999996,-0.15223880597014922
