fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,1.0,1.0,1.0,1.0,0.08034782608695654,0.0,0.0,0.08034782608695654,0.0,0.0
2,0.9594594594594594,0.9653524492234169,0.952034001214329,0.9573182118375806,0.1730081300813008,0.015384615384615441,0.0076923076923077205,0.1730081300813008,-0.2857142857142857,-0.16459627329192544
3,1.0,1.0,1.0,1.0,0.19012647898816806,0.0,0.0,0.19012647898816806,0.0,0.0
4,1.0,1.0,1.0,1.0,0.12296747967479676,0.0,0.0,0.12296747967479676,0.0,0.0
5,1.0,1.0,1.0,1.0,0.2695610687022901,0.0,0.0,0.2695610687022901,0.0,0.0
6,1.0,1.0,1.0,1.0,-0.06696832579185522,0.0,0.0,-0.06696832579185522,0.0,0.0
7,0.9795918367346939,0.9821428571428571,0.9838709677419355,0.9825612252634771,0.2495232040686586,0.0,0.0,0.2495232040686586,0.052631578947368474,0.026315789473684237
8,0.9387755102040817,0.9331932976000773,0.9302635969302636,0.9313405328868262,0.10833333333333331,-0.06643356643356635,-0.05449337896146403,0.10833333333333331,0.09090909090909094,0.10427807486631017
9,0.9591836734693877,0.9638278388278388,0.9572016034280185,0.9596119929453263,0.06218181818181817,0.08571428571428574,0.04285714285714287,0.06218181818181817,-0.12111801242236031,-0.0668881201352308
10,0.9727891156462585,0.9595238095238096,0.9679487179487181,0.9630095703415266,0.05555555555555555,0.04761904761904767,0.00952380952380955,0.05555555555555555,0.06521739130434778,0.03260869565217389
