fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.195,0.1421544866366598,0.16363717829235075,0.14316602316602317,-0.3687474162877222,-0.4686868686868687,-0.4426495878550673,-0.3687474162877222,0.58125,0.5261117256637169
2,0.18,0.11040860215053763,0.17242452536570183,0.12424852813060101,-0.48139933461034373,-0.49545454545454537,-0.5010036260036259,-0.48139933461034373,0.6428571428571428,0.6056788411157343
3,0.23,0.2547638326585695,0.22834928229665072,0.20402383923873896,-0.2960016319869441,-0.48333333333333334,-0.41720575022461814,-0.2960016319869441,0.6111111111111112,0.5715811965811965
4,0.195,0.16801803739610058,0.18986536107711136,0.1633830665378721,-0.5487939145230708,-0.9534883720930233,-0.7378552971576228,-0.5487939145230708,-0.9534883720930233,-0.7378552971576228
5,0.1407035175879397,0.15498247783962066,0.13803030303030303,0.13091263220477628,-0.44062816616008105,-0.44871794871794873,-0.44784382284382285,-0.44062816616008105,-0.44871794871794873,0.5472597190245047
6,0.20603015075376885,0.16394041099923454,0.21720260939935193,0.1603205162050919,-0.3555668016194332,-0.8048780487804879,-0.6095562798945962,-0.3555668016194332,-0.8048780487804879,-0.6095562798945962
7,0.271356783919598,0.27668879464011314,0.26840852130325815,0.24567053639610767,-0.3762626262626263,-0.6285714285714286,-0.5164224664224664,-0.3762626262626263,0.6774193548387097,0.5188567362428843
8,0.18592964824120603,0.17986823661340062,0.1806624901746853,0.16424856799903365,-0.44515151515151513,-0.6863636363636364,-0.5668977090325406,-0.44515151515151513,-0.6863636363636364,-0.5668977090325406
9,0.19597989949748743,0.2043976608187134,0.19669421114677166,0.1862130689041444,-0.4396969696969697,-0.641025641025641,-0.5358049167327518,-0.4396969696969697,-0.641025641025641,-0.5358049167327518
10,0.2663316582914573,0.31644325883456326,0.26286187455954896,0.22176664516830913,-0.2759595959595959,-0.4193548387096774,-0.38600592177029763,-0.2759595959595959,0.4333333333333333,-0.38600592177029763
