fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.32275132275132273,0.3714029510067662,0.3208606638839197,0.30999303020809804,-0.4827586206896552,-0.358974358974359,-0.4387464387464387,-0.4827586206896552,0.6510263929618768,-0.4387464387464387
2,0.4708994708994709,0.44724802560623456,0.45412311265969807,0.42482715629604445,-0.4508670520231214,-0.7297297297297297,-0.5523648648648649,-0.4508670520231214,-0.7297297297297297,-0.5523648648648649
3,0.19576719576719576,0.1286008230452675,0.310281517747858,0.18029164825452937,-0.6352941176470588,-0.696969696969697,-0.6587038265870383,-0.6352941176470588,0.7073170731707317,0.6598600869729627
4,0.5343915343915344,0.44437321937321944,0.44139194139194143,0.435263607945386,-0.24096385542168675,-0.3870967741935484,-0.2972520908004779,-0.24096385542168675,-0.3870967741935484,0.4434744652989961
5,0.5925925925925926,0.5381648654375927,0.5106918238993711,0.47614000788873456,-0.3089887640449438,-0.6,-0.4188811188811189,-0.3089887640449438,-0.6,-0.4188811188811189
6,0.42021276595744683,0.43162393162393164,0.4258241758241758,0.4201860318237541,-0.2556818181818182,-0.4666666666666667,-0.3249363867684478,-0.2556818181818182,0.6219512195121951,0.6939543331603528
7,0.5372340425531915,0.4490893131446127,0.5101234567901235,0.4467428228516342,-0.32201533406352684,-0.7571428571428571,-0.5258317025440313,-0.32201533406352684,-0.7571428571428571,-0.5258317025440313
8,0.5478723404255319,0.4510365917958452,0.45679062138689464,0.44977031081110885,-0.1686046511627907,-0.21052631578947367,-0.18362136684996072,-0.1686046511627907,0.6,0.25249343832021
9,0.39361702127659576,0.390625,0.37029829475649906,0.36931097325153095,-0.36046511627906974,-0.3157894736842105,-0.34446190102120977,-0.36046511627906974,0.653061224489796,0.36335361730899257
10,0.32978723404255317,0.36874616933718585,0.3509090909090909,0.3309328449328449,-0.3468208092485549,-0.5384615384615384,-0.4147531572904707,-0.3468208092485549,0.7659574468085106,0.6959182452045366
