fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.3959731543624161,0.2790508243098234,0.37851392116098,0.3106303088036834,-0.3746770025839793,-0.5428571428571429,-0.43500309214594934
2,0.18791946308724833,0.18994600190252364,0.18947357094622172,0.18817867375807684,-0.27198990627253067,-0.5833333333333334,-0.3945761494252874
3,0.4899328859060403,0.49546703296703304,0.44778238700198775,0.42318430203676105,-0.14773960216998192,-0.5888888888888888,-0.33624772313296897
4,0.40268456375838924,0.36939991871570815,0.3822285614357226,0.36995144551902415,-0.366738894907909,-0.46153846153846156,-0.40583554376657827
5,0.2751677852348993,0.3135403236774106,0.2681170848267623,0.27845699508573185,-0.25536723163841807,-0.5183946488294314,-0.3529676034543004
6,0.40939597315436244,0.4467911938458923,0.41702090131404884,0.3959254575212022,-0.25424954792043397,-0.7070707070707072,-0.43967039104577316
7,0.3825503355704698,0.3997064989517819,0.383406162464986,0.3594827996379016,-0.17372234935163997,-0.47435897435897434,-0.31009615384615385
8,0.38926174496644295,0.4937693703755409,0.39202665150941013,0.37004148333159215,-0.21464646464646467,-0.5181818181818181,-0.34217986314760507
9,0.44966442953020136,0.3951836605087379,0.40387066745890277,0.39495188925328223,-0.2150595882990249,-0.8222222222222222,-0.4758832565284178
10,0.3087248322147651,0.2972804972804973,0.33005938697318005,0.29266418347964374,-0.2708108108108108,-0.5,-0.37091767881241566
