fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.3469387755102041,0.36306884563795133,0.39915687850069714,0.3188243019171639,-0.19131161236424393,-0.22647169103862008,-0.1985824841747722
2,0.33843537414965985,0.3382326887230715,0.35288244239137095,0.2816292669199381,-0.3535721276179292,-0.3110870610870611,-0.340051410412695
3,0.3197278911564626,0.32567638576595953,0.35118436923759483,0.2877470355731226,-0.34691346500060016,-0.22190293742017875,-0.30800414484840727
4,0.3622448979591837,0.3568108272609593,0.3752869951399363,0.330206788002082,-0.21890461013242302,-0.12633478718604296,-0.18688994197310413
5,0.3078231292517007,0.3243444260274555,0.34186811382002613,0.27848814674538236,-0.07265609708357806,-0.11172413793103453,-0.0796737416490311
6,0.33049403747870526,0.40929064657878217,0.36272736647549236,0.262623942795502,-0.1873422873422873,-0.13957258658806193,-0.1724916479337843
7,0.3492333901192504,0.41493107457233025,0.35226395677900696,0.2809237179592891,-0.2303716085894304,-0.32221898660454285,-0.25654779475276546
8,0.3270868824531516,0.2374384551441908,0.27168336684927075,0.23682171747556777,-0.13928621808435604,-0.2208760484622554,-0.17214206631307674
9,0.2606473594548552,0.32320833352794004,0.285031861264618,0.25936557768812274,-0.3043989913140936,-0.2495388669301713,-0.3077075203662475
10,0.42248722316865417,0.3874760536398467,0.3592868913771394,0.3366609235484635,-0.14724310776942356,-0.3173018753781004,-0.19548367310296327
