fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.5680272108843537,0.5816728840568272,0.5562488675663114,0.5652936684829181,-0.24394319131161235,-0.22534683164604424,-0.2360977855709213,-0.24394319131161235,0.36358754027926954,-0.2360977855709213
2,0.6258503401360545,0.6486928885266481,0.6115691265244837,0.6218790487439143,-0.2370718340183989,-0.20670995670995668,-0.19568325667790432,-0.2370718340183989,0.3508403361344538,0.2406000273268099
3,0.6751700680272109,0.6912621339531638,0.6606806974734382,0.6708078632953599,-0.16446850787469827,-0.12068965517241381,-0.1389357210433596,-0.16446850787469827,0.3716906399833229,0.2371910656987809
4,0.6343537414965986,0.63244917850181,0.6045018434724317,0.6114349571246124,-0.19475375731793512,-0.20679801473905846,-0.18540052943954444,-0.19475375731793512,0.5545343137254901,0.3183257660987892
5,0.6224489795918368,0.6578876431082029,0.6130749077732848,0.6178126651250951,-0.14214131924055587,-0.13678160919540228,-0.11520187559649776,-0.14214131924055587,0.376280535855004,0.26059166669469025
6,0.6507666098807495,0.6623046598031709,0.6463633262733713,0.6528701061321689,-0.19177859177859177,-0.07885040530582166,-0.14783563158478635,-0.19177859177859177,0.20000000000000007,0.15103955375253553
7,0.676320272572402,0.6749926010485371,0.6683041967322904,0.6713617351915224,-0.22598688440272596,-0.2105416423995341,-0.197135441758943,-0.22598688440272596,0.2450980392156863,-0.197135441758943
8,0.6439522998296422,0.6899384364337635,0.6237350622934148,0.6340413186762932,-0.14914656510086047,-0.05778191985088538,-0.07244370078923007,-0.14914656510086047,0.3576923076923077,0.26380560334234454
9,0.6524701873935264,0.6635760073260073,0.6580483587598314,0.6480889232594006,-0.14569907537125243,-0.15612648221343867,-0.10838315197732254,-0.14569907537125243,0.3284090909090909,0.22550431126250797
10,0.6643952299829642,0.6770408887267125,0.6431445163498118,0.6495888593523261,-0.17879805897723033,-0.2085601935874168,-0.18408210903981742,-0.17879805897723033,0.23109243697478987,-0.18408210903981742
