fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.5799319727891157,0.5948280540710615,0.5674589763587234,0.5762646146291112,-0.24310776942355888,-0.1934758155230596,-0.22751521868589955,-0.24310776942355888,0.40440386680988183,0.24377417603986645
2,0.6802721088435374,0.7177542041856831,0.6657871679077036,0.6775884525525727,-0.1678214914856136,-0.1622174122174122,-0.12785268469925026,-0.1678214914856136,0.3277310924369748,0.2089724127773405
3,0.6547619047619048,0.6639190676876452,0.6424795846215702,0.65088502977983,-0.26715297318201825,-0.18039591315453385,-0.2300238686866936,-0.26715297318201825,0.36918907650614974,-0.2300238686866936
4,0.6649659863945578,0.6669808949220714,0.6321685939332998,0.6363410017031744,-0.17192313334311282,-0.1228756203940442,-0.14468960406525433,-0.17192313334311282,0.5373774509803921,0.3113973936569163
5,0.608843537414966,0.6309166862941025,0.5989255686558046,0.6021611299656445,-0.17294969661381876,-0.11954022988505747,-0.13574785260799205,-0.17294969661381876,0.3605200945626477,0.25310262670285066
6,0.7052810902896082,0.7140024400918836,0.702819225307981,0.7075954278490677,-0.17011260344593676,-0.12792925571112745,-0.14281239909189677,-0.17011260344593676,0.20000000000000007,-0.14281239909189677
7,0.717206132879046,0.7325603634870878,0.7034436113867552,0.7125039483766858,-0.1355021216407355,-0.19583576004659287,-0.12353801876620163,-0.1355021216407355,-0.19583576004659287,0.12835343313251615
8,0.6320272572402045,0.6560621041234158,0.6278478915778687,0.6306408246466657,-0.1911835237692199,-0.10950605778191991,-0.1287944187026986,-0.1911835237692199,0.23461538461538456,0.18789014499877116
9,0.6643952299829642,0.6801737879553672,0.671568960957749,0.66423871614089,-0.17958811992154664,-0.17233201581027674,-0.13439137795129466,-0.17958811992154664,0.25681818181818183,0.19193368107302533
10,0.6712095400340715,0.6837158567927798,0.6422792521617806,0.6504641299600115,-0.18411720791340053,-0.13838475499092556,-0.16807835920722067,-0.18411720791340053,-0.13838475499092556,-0.16807835920722067
