fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.1952,0.23868684668989548,0.2541262411213452,0.14771914094041655,-0.01399343756031654,-0.016425941659586517,-0.014823335173620639,-0.01399343756031654,0.1483103879849812,0.17357628636601186
2,0.4128,0.24290523663865576,0.24998366749267853,0.23744239991051952,-0.09779469322752177,-0.0679465462074158,-0.09319313125973627,-0.09779469322752177,0.22573260073260076,0.2341996336996337
3,0.24,0.23539284477944983,0.23377442340856974,0.16537139030542725,0.001088890659442808,-0.003030303030303029,0.0005296640254465936,0.001088890659442808,0.2404654169360052,0.2635237028187023
4,0.1728,0.19865845654968892,0.27801023618261667,0.1532907664008681,-0.01203431868799354,-0.04732618315457887,-0.01780988056811511,-0.01203431868799354,0.14157303370786517,0.21127796984538558
5,0.208,0.18789298289738432,0.2233501139817629,0.15878871574994302,-0.06538106716662201,-0.07424749163879601,-0.0688403325536302,-0.06538106716662201,0.32849503437738736,0.2996436066867788
6,0.3776,0.2370648213743548,0.23250658827227094,0.1924259667611388,-0.007786043783164054,0.09057795046138906,0.01625051369223296,-0.007786043783164054,0.33581235697940504,0.21332302579334228
7,0.25,0.24894800771934306,0.2675369856680536,0.19657617619981793,-0.12848372901613517,-0.1810248377713135,-0.12775774995526626,-0.12848372901613517,0.257183908045977,0.2951161652534319
8,0.13141025641025642,0.29463264722698684,0.30299280397964606,0.13118313939484,-0.008674422728078668,0.009223509223509223,-0.005592327020898449,-0.008674422728078668,-0.7333333333333333,-0.5208815520762423
9,0.1955128205128205,0.2402382144579207,0.23978147369585096,0.1119193710057766,0.011931311329170382,0.020613026819923372,0.014118211230618072,0.011931311329170382,0.07702127659574465,0.11289717331432864
10,0.2564102564102564,0.27566729718369065,0.2922753490598829,0.22897090120087923,-0.04159957058507785,-0.05732876110085289,-0.04101086890320821,-0.04159957058507785,0.48055555555555557,0.38740478556052327
