fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.4352,0.35106987980506277,0.32897470932201656,0.3207083700499744,0.0813549507817024,-0.02704616256018122,0.07165997496327692,0.0813549507817024,0.6207759699624531,0.41589825623526827
2,0.4832,0.3199995031796502,0.30245700983705043,0.29318906499981395,-0.28640645666315756,-0.34556747600225857,-0.28578610206732313,-0.28640645666315756,0.5590659340659341,0.4913848188848189
3,0.472,0.34754732681355127,0.3249691252740033,0.32889805886563644,0.008140121637054132,-0.030303030303030276,0.01115418477180427,0.008140121637054132,0.6328377504848093,0.4288141047221521
4,0.392,0.35242520014575734,0.3227321326669468,0.31052192408231344,0.0458847944928123,-0.06007650191254782,0.03201679491528575,0.0458847944928123,0.7101123595505618,0.4420219917410929
5,0.3632,0.329963538445073,0.32501551418439717,0.30510537670761717,-0.14159450049102762,-0.28779264214046824,-0.16201685314877903,-0.14159450049102762,0.6287242169595111,0.5593127232751597
6,0.4848,0.35404031895777177,0.3645003188361122,0.35763474016824265,-0.04339652827773777,-0.17160433867573255,-0.053917553953250874,-0.04339652827773777,0.6121281464530892,0.48434805339731724
7,0.44711538461538464,0.32552512154002977,0.32917822468793345,0.32654091849735434,-0.11970989297549844,-0.16625643320653394,-0.12429969368306323,-0.11970989297549844,0.5150862068965517,0.4529888650893625
8,0.28044871794871795,0.3112197271451148,0.33315236481354904,0.24683298900501485,-0.1916692808139773,-0.2423852423852424,-0.19409752783612966,-0.1916692808139773,0.6380400421496312,0.5686131547207256
9,0.3974358974358974,0.3691565692561236,0.3139395626014124,0.3041351369814556,0.03757805530776093,-0.14727969348658998,0.014976743832982059,0.03757805530776093,0.4561702127659575,0.3737543977215614
10,0.47275641025641024,0.35821530808321117,0.36027878974356736,0.35868921726118463,-0.12041510109142961,-0.19695770684955594,-0.12015622766541428,-0.12041510109142961,0.6708333333333334,0.5686920433846664
