fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.2384,0.2856800101168031,0.2399931317923974,0.21056403590100425,0.15268701574434057,0.044746530727839184,0.1400775455195616,0.15268701574434057,0.44430538172715894,-0.40982456140350876
2,0.2304,0.2780853960804167,0.3139900705287053,0.2078863323446441,-0.12040111210084486,-0.10141329258976317,-0.11650042698227929,-0.12040111210084486,-0.5294117647058824,0.4560352055352055
3,0.4096,0.31340799929128005,0.31017310377066476,0.3030859806151368,-0.022189466974743055,-0.043939393939393945,-0.020393484990485933,-0.022189466974743055,0.6509372979961215,0.4803074777836458
4,0.2144,0.2915222751196096,0.29557055691773215,0.20099815777889082,-0.038266855638793285,-0.03135078376959423,-0.034978144178375095,-0.038266855638793285,0.36797752808988765,0.4192451743013541
5,0.3824,0.31626541125899277,0.2961056231003039,0.2828454095944468,0.11600154748087965,0.018561872909699018,0.10137667439711714,0.11600154748087965,0.5492742551566081,0.37963611971698574
6,0.3456,0.27642662178507765,0.2599859775838438,0.26206552833046926,-0.11407087433005364,-0.15444390480815928,-0.11499118317331042,-0.11407087433005364,0.629862700228833,0.535173372243231
7,0.3189102564102564,0.2659274916924459,0.3089343504392048,0.23759177818529226,-0.009643070570978463,-0.024390243902439046,-0.014423475092136318,-0.009643070570978463,-0.6666666666666666,-0.43273232971564163
8,0.2532051282051282,0.2825610005799274,0.27690853554340394,0.22152155105708976,-0.07905181467286787,-0.056842556842556846,-0.07509952418767009,-0.07905181467286787,0.505795574288725,0.4858772113315985
9,0.3926282051282051,0.33714029009426966,0.35561148138014675,0.28044530437481957,0.11295718108831398,-0.023754789272030674,0.10333494062111273,0.11295718108831398,-0.6428571428571429,-0.4395404449989603
10,0.30128205128205127,0.29290234349480226,0.2796721850226877,0.2636536752016959,-0.04571479692252639,-0.13576013364987252,-0.06104033079941289,-0.04571479692252639,0.6972222222222222,0.5856329690346084
