fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.465,0.4434547872340426,0.4167141950547123,0.4225165716055095,0.3976849937990905,0.30101010101010106,0.25694123228369803,0.3976849937990905,-0.33125,0.25694123228369803
2,0.425,0.40030849590390477,0.40810457516339865,0.4005613449155458,0.2681721947776994,0.13636363636363635,0.1510878010878011,0.2681721947776994,0.32026143790849676,-0.18207736168901217
3,0.545,0.517836449761232,0.5358353269537479,0.5202967805327456,0.37454100367197063,0.525,0.34134097035040434,0.37454100367197063,0.525,0.34134097035040434
4,0.5,0.48228887070376436,0.47644530989206635,0.47814510013034717,0.29616654989490543,0.34219269102990035,0.23776301218161686,0.29616654989490543,0.34219269102990035,0.23776301218161686
5,0.47738693467336685,0.4669089526851131,0.4569191919191919,0.4538820259462314,0.3233029381965552,0.576923076923077,0.35664335664335667,0.3233029381965552,-0.6317567567567568,-0.36181796962453505
6,0.5025125628140703,0.4594229726912654,0.46581045969669266,0.46112818834991287,0.3800607287449393,0.7073170731707317,0.4537609431393853,0.3800607287449393,0.7073170731707317,0.4537609431393853
7,0.4623115577889447,0.46081522039710193,0.4651856915014809,0.4598591052101596,0.3693939393939394,0.43809523809523815,0.3254578754578755,0.3693939393939394,-0.5564516129032258,-0.3517552182163188
8,0.46733668341708545,0.48055439184471443,0.457848754678023,0.46037538450702514,0.25909090909090904,-0.13181818181818172,0.012140668320443651,0.25909090909090904,0.3888888888888889,0.22350195724179464
9,0.46733668341708545,0.47584054834054834,0.4511586292563116,0.45533108559585267,0.30373737373737375,0.2820512820512821,0.218431139307428,0.30373737373737375,-0.5833333333333333,-0.3251736111111111
10,0.4321608040201005,0.4304807692307692,0.43681324876673716,0.4311203016674803,0.3793939393939394,0.5519713261648745,0.3986909770920991,0.3793939393939394,0.5519713261648745,0.3986909770920991
