fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.7037037037037037,0.6274089129780186,0.618812956191597,0.6224786303870412,-0.08505747126436783,-0.18974358974358974,-0.15042735042735042,-0.08505747126436783,-0.40476190476190477,-0.18192640692640694
2,0.656084656084656,0.5837642749407456,0.5705264465043572,0.5738701262894811,0.0708092485549133,0.1405405405405405,0.06425422748952159,0.0708092485549133,0.27192982456140347,0.1328310091467986
3,0.6931216931216931,0.6400318594675961,0.5993849826979162,0.6145102583789965,-0.11207430340557276,-0.43636363636363634,-0.24372926343729262,-0.11207430340557276,-0.43636363636363634,-0.24372926343729262
4,0.6507936507936508,0.5712527082030223,0.5668934240362812,0.5684626809101524,-0.012833944473546355,-0.044354838709677435,-0.05551075268817205,-0.012833944473546355,0.14942528735632188,0.05678015422668414
5,0.6825396825396826,0.6107850281043389,0.6063417190775682,0.6039459041933415,0.1557711950970378,0.08571428571428574,0.05975690975690977,0.1557711950970378,-0.39215686274509803,-0.21138901754927691
6,0.6276595744680851,0.5783620999640418,0.5708180708180709,0.568195600639506,0.039772727272727265,-0.18095238095238098,-0.051544892766266816,0.039772727272727265,-0.3877551020408163,0.12644006227296317
7,0.7127659574468085,0.6043797534749541,0.6048248248248248,0.5979327186223738,0.12212486308871848,-0.17142857142857143,-0.030234833659491187,0.12212486308871848,-0.17142857142857143,-0.047393723329552204
8,0.6542553191489362,0.5792372881355932,0.5505668934240363,0.5554248366013073,0.09883720930232559,0.20300751879699247,0.05672763999551116,0.09883720930232559,-0.3333333333333333,-0.19471784776902887
9,0.6436170212765957,0.5710387078808131,0.5748341441839894,0.5694287313272203,0.011627906976744179,0.22368421052631582,0.07515056297460068,0.011627906976744179,0.22368421052631582,0.07515056297460068
10,0.648936170212766,0.5755199493063571,0.5593939393939394,0.5632743693088521,0.17148362235067435,0.21538461538461534,0.1591848450057405,0.17148362235067435,-0.45,-0.3036056049213944
