fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.7037037037037037,0.6327041327041328,0.6227917174519116,0.6264282941092331,0.0482758620689655,0.2102564102564103,0.04957264957264959,0.0482758620689655,-0.38095238095238093,-0.2291125541125541
2,0.6455026455026455,0.5763125763125764,0.5688354188124092,0.5702751032710974,0.1842485549132948,0.08648648648648649,0.1281362913715855,0.1842485549132948,-0.42105263157894735,-0.21736392262708049
3,0.7248677248677249,0.6904937724609855,0.6442910678936791,0.6621270247229326,0.057585139318885425,0.1636363636363637,0.06357000663570009,0.057585139318885425,-0.4146341463414634,-0.2515487193175625
4,0.6666666666666666,0.5939696633370329,0.5831152974010116,0.5866202992432673,0.1042430591932949,0.11290322580645162,0.07126642771804062,0.1042430591932949,-0.22916666666666669,-0.16788395777579543
5,0.6878306878306878,0.6204233079233079,0.6264412997903563,0.6168013468013468,0.21297242083758935,0.20000000000000007,0.10641025641025643,0.21297242083758935,-0.37254901960784315,-0.257140651536205
6,0.6808510638297872,0.6607048224695283,0.6373626373626373,0.6412529662952967,0.23484848484848486,-0.08253968253968252,0.12437901369199081,0.23484848484848486,-0.5510204081632653,-0.3105058296284393
7,0.6968085106382979,0.5611275088547816,0.564124124124124,0.5570604279116673,0.11610076670317632,-0.2142857142857143,-0.028604044357469022,0.11610076670317632,-0.2142857142857143,-0.055090124397055115
8,0.6542553191489362,0.5692823258040649,0.554572940287226,0.5569904421005608,0.06395348837209303,0.15037593984962405,0.015486477387498594,0.06395348837209303,-0.3111111111111111,-0.14054571303587052
9,0.6170212765957447,0.5476555839727195,0.5528625485281832,0.5478421747457282,0.005813953488372103,0.25,0.0808457711442786,0.005813953488372103,0.7142857142857143,0.259581881533101
10,0.6702127659574468,0.6187316880775299,0.6066666666666666,0.6067144806640604,0.09325626204238921,0.16410256410256407,0.08354381936471487,0.09325626204238921,-0.32499999999999996,-0.1918916609706083
