fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.9789525208027411,0.9794695782739261,0.9799173914158906,0.9796421650994792,0.14646945886368481,0.05570765018917834,0.028002332357073362,0.14646945886368481,0.05570765018917834,0.028002332357073362
2,0.9730788056779246,0.9737756944388966,0.97480582461327,0.9742164252230895,0.14445331343594373,0.02493772808897643,0.010077444628508018,0.14445331343594373,0.02493772808897643,0.010077444628508018
3,0.9716103768967205,0.97286678870702,0.9738526707696984,0.9733031972352579,0.18037806660896508,0.10114173682389582,0.053844246524549395,0.18037806660896508,0.10114173682389582,0.053844246524549395
4,0.9711209006363192,0.9719736524679504,0.9727069176591874,0.9722825002687808,0.12853945062381786,0.047351922125061896,0.022822153334933842,0.12853945062381786,0.047351922125061896,0.022822153334933842
5,0.9730788056779246,0.9748820165321032,0.9736910863229826,0.9741666661047882,0.09523295422817046,0.04977696674776966,0.02785093417699088,0.09523295422817046,0.04977696674776966,0.02785093417699088
6,0.9706314243759178,0.9729249529462102,0.972083339293974,0.9723555665533615,0.1728975635315693,0.16822513135630957,0.08051506755874431,0.1728975635315693,0.16822513135630957,0.08051506755874431
7,0.9652471855115027,0.9671704432654221,0.9669491452216205,0.9668326924785262,0.14887790619411165,0.11606915480603264,0.05150102792767184,0.14887790619411165,0.11606915480603264,0.05150102792767184
8,0.9774730656219393,0.9782931797196183,0.9787225718469501,0.9784198617683361,0.1602392988650244,0.09225130349491506,0.05011501344958519,0.1602392988650244,0.09225130349491506,0.05011501344958519
9,0.9715964740450539,0.972738994674999,0.9732385992824719,0.9728159767046121,0.13763077972648516,0.07914742451154533,0.039655026290575074,0.13763077972648516,0.07914742451154533,0.039655026290575074
10,0.9784524975514202,0.9794447539819031,0.9793005037335886,0.9793340446481625,0.11428034691129968,0.04245027124773959,0.022542303287482527,0.11428034691129968,0.04245027124773959,0.022542303287482527
