fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.48299319727891155,0.320226822874873,0.40374983259675906,0.35281551738870376,-0.0328599275967697,-0.1619797525309336,-0.06342451678834263,-0.0328599275967697,-0.1619797525309336,-0.06342451678834263
2,0.4880952380952381,0.3244633232849183,0.416673704954955,0.3591442682351773,-0.22994715208455666,-0.29377104377104374,-0.22514897713381207,-0.22994715208455666,0.31981258366800536,0.2441731263211015
3,0.477891156462585,0.31274214377959536,0.4159212608007789,0.35479327060165383,-0.12924906983877205,-0.30076628352490425,-0.17170758550137322,-0.12924906983877205,-0.30076628352490425,-0.17170758550137322
4,0.477891156462585,0.4285916392844104,0.3911146723646724,0.36865176507159364,-0.13493005454278742,-0.09204391637840276,-0.11679821389696393,-0.13493005454278742,0.1994232475598935,-0.11679821389696393
5,0.44727891156462585,0.4387888068215937,0.39138947473227614,0.3377768229065705,-0.20919945194754355,-0.23160919540229885,-0.2024923233329184,-0.20919945194754355,0.3551916997649348,0.2217630044492121
6,0.4616695059625213,0.467556301153983,0.4040202121161642,0.35911490038113475,-0.23900420567087236,-0.40884303610906414,-0.2808162475190681,-0.23900420567087236,-0.40884303610906414,-0.2808162475190681
7,0.4684838160136286,0.4536834956564757,0.3880049901789033,0.3605462070216711,-0.15496978269255499,-0.19306930693069307,-0.15860108188662045,-0.15496978269255499,0.21507064364207218,-0.15860108188662045
8,0.4616695059625213,0.37711359119400706,0.39049746126405166,0.3423563446751852,-0.10028212723938493,-0.13187325256290777,-0.08606051886174182,-0.10028212723938493,0.17440174039158807,-0.08606051886174182
9,0.47700170357751276,0.3968770849371311,0.39338786812810606,0.343597363249037,-0.2224292518912861,-0.37233201581027675,-0.24005746103262524,-0.2224292518912861,-0.37233201581027675,-0.24005746103262524
10,0.424190800681431,0.34875581601407796,0.36614301096866825,0.32505019754753667,-0.23408254679251322,-0.34679370840895346,-0.2652966195323434,-0.23408254679251322,-0.34679370840895346,-0.2652966195323434
