fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7248677248677249,0.6547870004391744,0.6357367012706819,0.6401553763939085,0.10919540229885055,0.4358974358974359,0.154985754985755,0.10919540229885055,0.4358974358974359,-0.2435064935064935,eo
2,0.671957671957672,0.5776593901593902,0.5885762496438981,0.581929181929182,0.20050578034682082,-0.04864864864864871,0.09499385749385747,0.20050578034682082,-0.3157894736842105,-0.16615684510421352,eo
3,0.7354497354497355,0.6793957307060756,0.6478383728485727,0.6566055443414488,0.14520123839009286,0.33333333333333337,0.17683350712547793,0.14520123839009286,0.33333333333333337,0.17683350712547793,eo
4,0.6825396825396826,0.6273187741173166,0.612157683586255,0.6109902351253368,0.09350445259298062,0.0766129032258065,0.03830645161290325,0.09350445259298062,-0.14583333333333331,-0.1016856229556943,eo
5,0.708994708994709,0.6516952470440843,0.6390592243186582,0.6375588532815675,0.33758937691521956,0.25714285714285723,0.23230103230103233,0.33758937691521956,-0.43137254901960786,-0.2708043847460244,eo
6,0.6702127659574468,0.6481200744014021,0.626984126984127,0.6309665391148824,0.47348484848484845,0.32380952380952377,0.3237368229734642,0.47348484848484845,-0.4489795918367347,0.3237368229734642,eo
7,0.6968085106382979,0.5701413143273609,0.6055255255255255,0.5693143114195746,0.3072289156626506,0.44999999999999996,0.28641552511415524,0.3072289156626506,0.44999999999999996,0.28641552511415524,eo
8,0.6808510638297872,0.6045498361287834,0.5876039304610733,0.5913522012578617,0.046511627906976744,-0.045112781954887216,-0.03043367124278358,0.046511627906976744,-0.37777777777777777,-0.1445288913814702,eo
9,0.6808510638297872,0.6335696923979549,0.6396972824217406,0.6331521739130435,0.05087209302325579,0.09210526315789469,0.05475909924063889,0.05087209302325579,0.09210526315789469,0.05475909924063889,eo
10,0.6702127659574468,0.6101838755304102,0.610909090909091,0.6104387911500767,0.17456647398843933,0.2102564102564103,0.1454267125908917,0.17456647398843933,0.2102564102564103,0.1454267125908917,eo
