fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6979931473323544,0.6702258382322691,0.6832028778106786,0.6717251904638827,0.04811028941193202,0.023378141437755684,0.01923579461673039,0.04811028941193202,0.06454839658723155,0.05153946546918829,eo
2,0.6862457170827215,0.6626060612154129,0.6729224731792126,0.6653001949552197,0.06690381578719046,-0.023895035625325856,0.009841498456596001,0.06690381578719046,-0.05040371910937125,0.009841498456596001,eo
3,0.6524718551150269,0.6304660272073069,0.6332474975642095,0.6290572954511712,0.04831113761828221,0.0014415868988582603,0.010454159448489986,0.04831113761828221,0.005174291938997766,0.03633242023434344,eo
4,0.6847772883015174,0.6571016931314313,0.6710121775912259,0.6608910455702275,0.05397456141873014,0.007149535280206787,0.018761713302250405,0.05397456141873014,0.056122448979591844,0.05180938465320345,eo
5,0.6637298091042585,0.6353370084870988,0.6430545032209857,0.6371148139102855,0.035117175139139645,-0.05099351175993516,-0.00491561203002254,0.035117175139139645,-0.05099351175993516,0.01336700285798384,eo
6,0.6744982868330885,0.6502454321909382,0.6624515077230005,0.6534009477145725,0.06974811931584263,0.00427464600587768,0.023711863999790583,0.06974811931584263,-0.033333333333333326,0.023711863999790583,eo
7,0.6666666666666666,0.6428989336016272,0.6597725362723937,0.642546284704513,0.03213784350300955,0.0555162559067372,0.021558649322949527,0.03213784350300955,0.09160444838928627,0.032538169706120626,eo
8,0.6807051909892262,0.6536758324529813,0.667916538843535,0.6516287578563328,0.0347322152976525,-0.0009550358783749213,0.003695262691773657,0.0347322152976525,0.07346938775510203,0.05975510204081633,eo
9,0.6748285994123409,0.6461920156128573,0.6612777440827694,0.6485909898583463,0.05018283207627697,-0.05098875074008291,-0.0020759333469482777,0.05018283207627697,-0.05098875074008291,0.03029348135987136,eo
10,0.6811949069539667,0.6534152165142105,0.6664905197220082,0.6545302874772156,0.05036904230267894,0.027780289330922248,0.028714985027895185,0.05036904230267894,0.027780289330922248,0.029687880091310515,eo
