fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6845637583892618,0.6764332399626517,0.6647419882714,0.6648062558356675,-0.044665928386858594,-0.15714285714285714,-0.0890847247990105,-0.044665928386858594,-0.41830065359477125,-0.24401763340382265,cp
2,0.6375838926174496,0.6283109597275095,0.6325138582782341,0.628110498625705,0.14185291997116078,0.30000000000000004,0.18690732758620693,0.14185291997116078,0.30000000000000004,0.18690732758620693,cp
3,0.3422818791946309,0.37016304347826084,0.3168887736582836,0.2875844246801746,0.04737793851717903,-0.1,-0.009153005464480876,0.04737793851717903,-0.1,0.1304273504273504,cp
4,0.6845637583892618,0.6597562612268495,0.6699925678186548,0.6584545470921799,0.034308414590104724,0.07692307692307687,0.04403183023872676,0.034308414590104724,-0.42105263157894735,-0.2410094931231443,cp
5,0.6375838926174496,0.6038863287250384,0.6250107526881721,0.6064210818633187,0.052730696798493404,0.0033444816053511683,0.020653421853940996,0.052730696798493404,0.42727272727272725,0.23625541125541125,cp
6,0.6040268456375839,0.6068282828282828,0.6137490078490166,0.5989113084028338,0.002531645569620239,-0.18686868686868685,-0.10274248458466295,0.002531645569620239,0.3942307692307692,0.24222816657027182,cp
7,0.697986577181208,0.6650561132415971,0.6837759103641456,0.6612792409452426,0.07875667429443173,-0.008547008547008517,-0.008061383061383043,0.07875667429443173,0.1499999999999999,-0.16024509803921572,cp
8,0.697986577181208,0.7010427094128283,0.7223119552860932,0.6960689095598818,-0.012626262626262624,0.018181818181818188,-0.0014173998044965733,-0.012626262626262624,0.4696969696969697,0.2198443170240892,cp
9,0.6375838926174496,0.6072962962962963,0.6078007526242821,0.6070940611791675,0.06554712892741063,0.13333333333333341,0.06628264208909374,0.06554712892741063,0.13333333333333341,0.06628264208909374,cp
10,0.6040268456375839,0.6110995512035904,0.6279077266922094,0.6025126683969843,0.13207207207207206,0.11111111111111105,0.08403058929374715,0.13207207207207206,0.35,0.2259881422924901,cp
