fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,1.0,1.0,1.0,1.0,0.08034782608695654,0.0,0.0,0.08034782608695654,0.0,0.0,dp
2,0.9797297297297297,0.984375,0.9749455337690631,0.9791758604431872,0.20487804878048782,0.07692307692307687,0.038461538461538436,0.20487804878048782,0.07692307692307687,0.038461538461538436,dp
3,1.0,1.0,1.0,1.0,0.19012647898816806,0.0,0.0,0.19012647898816806,0.0,0.0,dp
4,1.0,1.0,1.0,1.0,0.12296747967479676,0.0,0.0,0.12296747967479676,0.0,0.0,dp
5,0.9931972789115646,0.9888888888888889,0.9925925925925926,0.9906049641338157,0.2619274809160306,0.0,-0.0045871559633027525,0.2619274809160306,0.024390243902439046,0.012195121951219523,dp
6,1.0,1.0,1.0,1.0,-0.06696832579185522,0.0,0.0,-0.06696832579185522,0.0,0.0,dp
7,1.0,1.0,1.0,1.0,0.2495232040686586,0.0,0.0,0.2495232040686586,0.0,0.0,dp
8,0.9931972789115646,0.9912280701754387,0.9938271604938271,0.9924402907580477,0.18240740740740738,0.0,-0.005319148936170213,0.18240740740740738,0.022727272727272707,0.011363636363636354,dp
9,1.0,1.0,1.0,1.0,0.03818181818181815,0.0,0.0,0.03818181818181815,0.0,0.0,dp
10,0.9931972789115646,0.9876543209876543,0.9935897435897436,0.9904744458692069,0.06349206349206349,0.0,-0.004761904761904762,0.06349206349206349,0.021739130434782594,0.010869565217391297,dp
