fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9932432432432432,0.9907407407407408,0.9924242424242425,0.9914737466947278,0.07234782608695653,0.0,-0.005154639175257732,0.07234782608695653,0.025000000000000022,0.012500000000000011,eo
2,0.9932432432432432,0.9946236559139785,0.9907407407407408,0.9925951372189777,0.19674796747967482,0.038461538461538436,0.019230769230769218,0.19674796747967482,0.038461538461538436,0.019230769230769218,eo
3,1.0,1.0,1.0,1.0,0.19012647898816806,0.0,0.0,0.19012647898816806,0.0,0.0,eo
4,0.9931972789115646,0.991869918699187,0.9935897435897436,0.9926485277078588,0.16463414634146345,0.0,0.03333333333333333,0.16463414634146345,-0.11111111111111116,-0.05555555555555558,eo
5,1.0,1.0,1.0,1.0,0.2695610687022901,0.0,0.0,0.2695610687022901,0.0,0.0,eo
6,0.9931972789115646,0.9938271604938271,0.9950980392156863,0.994415599400023,-0.06696832579185522,0.0,0.0,-0.06696832579185522,0.015873015873015928,0.007936507936507964,eo
7,0.9931972789115646,0.9938271604938271,0.9946236559139785,0.9941747081022211,0.2495232040686586,0.0,0.0,0.2495232040686586,0.01754385964912286,0.00877192982456143,eo
8,1.0,1.0,1.0,1.0,0.1907407407407407,0.0,0.0,0.1907407407407407,0.0,0.0,eo
9,1.0,1.0,1.0,1.0,0.03818181818181815,0.0,0.0,0.03818181818181815,0.0,0.0,eo
10,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,eo
