fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.505,0.48236423475722495,0.4690753736012357,0.4704830465099028,0.41360066143034313,0.31919191919191925,0.2638577556385776,0.41360066143034313,-0.625,-0.3925,cp
2,0.49,0.47764957264957264,0.4746218487394957,0.4714512809984212,0.34882548644016537,0.32727272727272727,0.26506086506086507,0.34882548644016537,0.32727272727272727,0.26506086506086507,cp
3,0.505,0.48724538619275465,0.4959230462519937,0.4872323405633804,0.3076295389636883,0.3916666666666667,0.26102875112309076,0.3076295389636883,0.3916666666666667,0.26102875112309076,cp
4,0.525,0.492486229054267,0.4883974630021141,0.4884638020684532,0.326493844460014,0.36544850498338877,0.26050203026947216,0.326493844460014,0.36544850498338877,0.26050203026947216,cp
5,0.48743718592964824,0.4864442354156292,0.4626262626262626,0.4576401778967016,0.34346504559270513,0.4615384615384615,0.30273892773892774,0.34346504559270513,-0.7837837837837838,-0.41305304219031835,cp
6,0.542713567839196,0.5239147948487571,0.5128516811767765,0.5155716974767104,0.3722672064777328,0.6829268292682927,0.43644549348719297,0.3722672064777328,0.6829268292682927,0.43644549348719297,cp
7,0.3165829145728643,0.26103989563895225,0.3047015265436318,0.27287075401829497,-0.04414141414141415,0.43492063492063493,0.10848595848595849,-0.04414141414141415,0.43492063492063493,0.26048085901027074,cp
8,0.5025125628140703,0.5146223609923843,0.4928217130656155,0.49270394779842863,0.16838383838383839,-0.031818181818181746,-0.000660294761418323,0.16838383838383839,-0.2916666666666667,-0.18314676616915423,cp
9,0.36683417085427134,0.29324947066882545,0.365496449300295,0.31607048124289505,0.06404040404040401,0.6923076923076923,0.2792294475284166,0.06404040404040401,0.6923076923076923,0.2792294475284166,cp
10,0.45226130653266333,0.4278916485813037,0.4474637068357999,0.4320256538397468,0.4194949494949495,0.6487455197132617,0.45263362942184826,0.4194949494949495,0.6487455197132617,0.45263362942184826,cp
