fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.5,0.4520799768183135,0.4501261087467984,0.44880530091063947,0.4288962381149235,0.7434343434343433,0.4529304789578762,0.4288962381149235,0.7434343434343433,0.4529304789578762,cp
2,0.405,0.35735404235404233,0.37620915032679736,0.3612546758676533,0.40024195987498745,0.2727272727272727,0.27776914443581113,0.40024195987498745,-0.2738095238095238,0.27776914443581113,cp
3,0.31,0.3285689861836,0.31175239234449764,0.2798130671573174,0.037943696450428444,0.45833333333333337,0.15824348607367478,0.037943696450428444,0.9166666666666666,0.4258241758241758,cp
4,0.575,0.5426224076383143,0.5395179704016914,0.5339709795236696,0.42238014212791514,0.574750830564784,0.3790420819490587,0.42238014212791514,0.574750830564784,0.3790420819490587,cp
5,0.271356783919598,0.321850126409681,0.27030303030303027,0.22428524611653664,-0.33181357649442755,0.3333333333333333,-0.09659090909090909,-0.33181357649442755,0.375,0.3163659793814433,cp
6,0.44221105527638194,0.5302058460914213,0.4204704095839336,0.4002648915540029,0.007995951417004044,0.30487804878048785,0.048240355675446184,0.007995951417004044,0.3143939393939394,0.14913245356793745,cp
7,0.4120603015075377,0.39464607583452815,0.41427660059239,0.39525881178463335,0.23787878787878788,0.6349206349206349,0.3272893772893773,0.23787878787878788,0.6349206349206349,0.3272893772893773,cp
8,0.49748743718592964,0.49447854931446267,0.4796656460071095,0.4776081686610155,0.358989898989899,0.08181818181818179,0.1612943236538742,0.358989898989899,-0.3854166666666667,-0.271951293788788,cp
9,0.5175879396984925,0.4954175927239482,0.49379834933670763,0.48772778545580825,0.39464646464646463,0.5128205128205128,0.33381575469204333,0.39464646464646463,0.5128205128205128,0.33381575469204333,cp
10,0.4271356783919598,0.3926932818420511,0.4312219873150106,0.4056254394191341,0.4593939393939394,0.45878136200716846,0.39219261337073397,0.4593939393939394,0.45878136200716846,0.39219261337073397,cp
