fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.35,0.23507323878167868,0.29562409573185433,0.2600773119238775,-0.026457213724679574,0.393939393939394,0.05356895767854675,-0.026457213724679574,0.46153846153846156,0.19619366141105274,dp
2,0.35,0.31448197254648863,0.31741674447556795,0.2791592001808537,0.020869039217663088,0.18181818181818177,0.011896745230078554,0.020869039217663088,0.19934640522875824,0.093042071197411,dp
3,0.325,0.3530196192696192,0.3164174641148325,0.2734384104437003,-0.00632394940840475,0.4916666666666667,0.15823225516621744,-0.00632394940840475,0.5,0.2619047619047619,dp
4,0.405,0.43846011131725415,0.3870539668409925,0.36214292012761173,-0.026423781403262958,0.4584717607973422,0.09590254706533777,-0.026423781403262958,0.6,0.31020408163265306,dp
5,0.33668341708542715,0.2868433454886657,0.3383333333333333,0.30129492558824317,-0.2506585612968592,0.11538461538461542,-0.15632284382284384,-0.2506585612968592,0.34285714285714286,0.24106327462491844,dp
6,0.37185929648241206,0.4794207771753882,0.35252731629443407,0.3288537531430755,-0.05384615384615388,0.08536585365853655,-0.06100370911543218,-0.05384615384615388,0.375,0.2132597037793667,dp
7,0.33668341708542715,0.2785155195681511,0.3225951241740715,0.28632243376774996,-0.003939393939393909,0.40952380952380957,0.10476190476190478,-0.003939393939393909,0.40952380952380957,0.10476190476190478,dp
8,0.39195979899497485,0.516465157976352,0.36995424629570967,0.33609432873633793,-0.1144444444444444,-0.054545454545454564,-0.16039873048300013,-0.1144444444444444,0.3465608465608466,0.16666666666666666,dp
9,0.31155778894472363,0.3366904337492573,0.30933542909536915,0.2719822818973251,-0.06686868686868686,0.23076923076923078,-0.0003370340999206828,-0.06686868686868686,0.3,0.12222222222222222,dp
10,0.35678391959798994,0.4625644284057923,0.33178224101479914,0.30248884223308775,0.10696969696969694,0.6630824372759856,0.29361851332398314,0.10696969696969694,0.6666666666666666,0.3333333333333333,dp
