fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.54,0.4927544351073763,0.47906871786182126,0.47404500668379573,0.5126085159156677,0.37171717171717167,0.33197730731977304,0.5126085159156677,-0.4875,-0.33932522123893805,eo
2,0.525,0.4799417064122947,0.499041394335512,0.4811630036630037,0.4167758846657929,0.26363636363636367,0.2655313821980489,0.4167758846657929,0.26363636363636367,0.2655313821980489,eo
3,0.475,0.4206164136615264,0.47260765550239237,0.43461162840677936,0.38596491228070173,0.4,0.3004043126684636,0.38596491228070173,0.4,0.3004043126684636,eo
4,0.55,0.5152911757351102,0.5098816067653277,0.4992618407108503,0.4217796016414773,0.574750830564784,0.38181985972683646,0.4217796016414773,0.574750830564784,0.38181985972683646,eo
5,0.457286432160804,0.3968175904241478,0.4288888888888889,0.4069092798652547,0.39949341438703145,0.5128205128205128,0.3605769230769231,0.39949341438703145,-0.7837837837837838,-0.4115156936643643,eo
6,0.49748743718592964,0.43352888465608386,0.45797436903911254,0.43919100660112537,0.4464574898785425,0.8292682926829268,0.5331697326189851,0.4464574898785425,0.8292682926829268,0.5331697326189851,eo
7,0.457286432160804,0.43982898422526906,0.461015037593985,0.43875554932731753,0.3686868686868687,0.3841269841269842,0.30360195360195363,0.3686868686868687,-0.5887096774193549,-0.3501146426312461,eo
8,0.49748743718592964,0.48033291298865066,0.4822155351423644,0.4593060778346583,0.29848484848484846,0.08181818181818179,0.12427586458485333,0.29848484848484846,0.2777777777777778,0.1742697982535381,eo
9,0.5025125628140703,0.4788955874850365,0.47544601689269433,0.45814108719406177,0.35474747474747476,0.4615384615384615,0.30740153317472907,0.35474747474747476,0.4615384615384615,0.30740153317472907,eo
10,0.47738693467336685,0.43480813830908704,0.4752825933756166,0.4407287912876465,0.4390909090909091,0.3799283154121863,0.3416549789621318,0.4390909090909091,0.3799283154121863,0.3416549789621318,eo
