fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6137566137566137,0.3824319140774837,0.49761134227153647,0.4249408295503046,0.0,0.0,0.0,0.0,0.13978494623655913,-0.05356431700517722,cp
2,0.582010582010582,0.4052457289079552,0.5104310477067034,0.4201388888888889,0.0,0.0,0.0,0.0,0.21052631578947367,0.09899535162693057,cp
3,0.5925925925925926,0.35907731065973864,0.44832041343669254,0.3942939244663382,0.0,0.0,0.0,0.0,0.1875,-0.037333311089608856,cp
4,0.671957671957672,0.42966042966042967,0.5463108320251178,0.47876334192123665,0.0,0.0,0.0,0.0,-0.25,0.15246253455550707,cp
5,0.656084656084656,0.42646777586536627,0.5404219077568134,0.473100185347771,-0.0056179775280898875,0.0,-0.0034965034965034965,-0.0056179775280898875,-0.2450980392156863,0.020746063845153817,cp
6,0.5638297872340425,0.35419630156472265,0.48901098901098905,0.41077441077441074,0.0,0.0,0.0,0.0,0.1360544217687074,0.12489510239791449,cp
7,0.7127659574468085,0.44871186976450134,0.5342942942942943,0.4839187574671446,0.0,0.0,0.0,0.0,0.12871287128712872,0.08868362772106089,cp
8,0.6382978723404256,0.40683050651898006,0.5403628117913831,0.4575300038714673,0.0,0.0,0.0,0.0,0.0012484394506866447,0.03504762764272713,cp
9,0.5531914893617021,0.42872542802790115,0.4783183448818124,0.42814040405236337,-0.05813953488372093,-0.02631578947368421,-0.04673998428908091,-0.05813953488372093,-0.7346938775510204,-0.4480670316907251,cp
10,0.6223404255319149,0.41489361702127664,0.5384848484848485,0.4508690671846208,0.0,0.0,0.0,0.0,-0.050000000000000044,0.048479152426520816,cp
