fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7037037037037037,0.6288522288522288,0.6148341949312823,0.6201074761325153,0.07701149425287357,0.3128205128205129,0.1045584045584046,0.07701149425287357,0.3128205128205129,0.1045584045584046,dp
2,0.6613756613756614,0.5887768440709618,0.5736711005924076,0.5780217952829577,0.2814306358381503,0.3675675675675676,0.27970624367683194,0.2814306358381503,-0.4473684210526316,0.27970624367683194,dp
3,0.6931216931216931,0.6132870575493526,0.6034649500581774,0.6040315002316193,0.13343653250773993,0.36363636363636365,0.18103611716750403,0.13343653250773993,0.36363636363636365,-0.20778975231612784,dp
4,0.6984126984126984,0.6360091264991691,0.6283795569509856,0.6291541298553921,0.06207438449449973,-0.08064516129032262,-0.029211469534050197,0.06207438449449973,-0.1875,-0.11315231935771633,dp
5,0.708994708994709,0.6499490316004077,0.6411032494758909,0.6367570975174992,0.22982635342185903,0.22857142857142865,0.12768897768897772,0.22982635342185903,-0.4117647058823529,-0.26100046317739695,dp
6,0.6914893617021277,0.6633247200689062,0.6477411477411478,0.6506923966123287,0.2897727272727273,0.015873015873015817,0.16213498121895067,0.2897727272727273,-0.5102040816326531,-0.2743496348670702,dp
7,0.7074468085106383,0.5847295885567342,0.5944944944944944,0.5805923696329766,0.25848849945235486,0.2142857142857143,0.18910632746249184,0.25848849945235486,-0.3333333333333333,0.18910632746249184,dp
8,0.6648936170212766,0.5787430002947244,0.5613756613756614,0.560998744484983,0.11482558139534885,0.2669172932330827,0.07002581079564583,0.11482558139534885,0.2669172932330827,0.07002581079564583,dp
9,0.6276595744680851,0.5539013257987394,0.5496240601503759,0.5495277719261288,-0.22093023255813954,-0.5,-0.3208955223880597,-0.22093023255813954,-0.5,-0.3208955223880597,dp
10,0.6914893617021277,0.6221826362129464,0.62,0.6208437607017729,0.18034682080924858,0.03589743589743588,0.1082472254114045,0.18034682080924858,-0.475,-0.2709928229665072,dp
