fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6878306878306878,0.6045330319217094,0.5960856834643242,0.5994165340607714,-0.006896551724137917,0.11282051282051281,-0.0065527065527065526,-0.006896551724137917,0.12903225806451613,-0.04659498207885304,dp
2,0.656084656084656,0.5755893279297535,0.5749311536242048,0.574493198279606,0.030346820809248554,-0.16756756756756752,-0.05537469287469285,0.030346820809248554,-0.16756756756756752,-0.05889455782312926,dp
3,0.7301587301587301,0.6841806851248236,0.6561229732384364,0.6651365829448022,0.08668730650154796,0.2727272727272727,0.11446582614465825,0.08668730650154796,-0.34146341463414637,-0.23662318018529024,dp
4,0.671957671957672,0.6023945462925792,0.5959358102215245,0.5980827886710239,0.03064431639601886,0.016129032258064502,-0.017861409796893678,0.03064431639601886,0.13793103448275867,0.08637058053251857,dp
5,0.7037037037037037,0.644619019669812,0.6445361635220126,0.637077407393582,0.03115423901940753,-0.05714285714285716,-0.09850149850149852,0.03115423901940753,0.12745098039215685,-0.09850149850149852,dp
6,0.6436170212765957,0.5967647666145194,0.5924908424908425,0.5897787188109769,0.18371212121212124,-0.12698412698412703,0.07543923421786017,0.18371212121212124,-0.3673469387755102,-0.21473208706054603,dp
7,0.7074468085106383,0.5824323390305796,0.6001735068401736,0.5805155182549818,0.14348302300109528,-0.02857142857142858,0.027495107632093937,0.14348302300109528,-0.3111111111111111,-0.12517150110733,dp
8,0.6542553191489362,0.5545799081883206,0.5465608465608466,0.5453974896391434,-0.015988372093023256,-0.018796992481203034,-0.07656267534507913,-0.015988372093023256,-0.043695380774032455,-0.07656267534507913,dp
9,0.648936170212766,0.5919531569543409,0.5918521794682786,0.5897209370414628,-0.05087209302325582,0.19736842105263153,0.02405734485467398,-0.05087209302325582,0.19736842105263153,0.07846517917511833,dp
10,0.675531914893617,0.6093512746743387,0.61,0.6092989884076574,0.04123314065510597,0.0871794871794872,0.022694221201683906,0.04123314065510597,0.18085106382978722,0.1255872759373971,dp
