fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.55359765051395,0.5211921379346177,0.6326380871751456,0.509215256838127,0.1730925122662305,0.2518687132793995,0.12536428037403463,0.1730925122662305,0.2518687132793995,-0.1471055979643766,cp
2,0.544297601566324,0.5015699467339502,0.6287299920162565,0.5003630676828988,0.18195005986569263,0.24885593465793898,0.12442796732896949,0.18195005986569263,0.24885593465793898,-0.15114142513651924,cp
3,0.5565345080763583,0.5068884504679667,0.6404291087303396,0.5064325548132106,0.19002974783437218,0.18838657594279784,0.09596948690567957,0.19002974783437218,0.18838657594279784,-0.14117392904578263,cp
4,0.5413607440039158,0.5430189380806665,0.6299706580623418,0.5015739829551756,0.19261135886446062,0.3898421602595832,0.19438267152544864,0.19261135886446062,0.3898421602595832,0.19438267152544864,cp
5,0.5594713656387665,0.5328281537331244,0.6422696211436038,0.5096973067668976,0.12817229119743873,0.1934306569343066,0.0996689149650436,0.12817229119743873,0.1934306569343066,-0.11134101554183518,cp
6,0.5379344101811062,0.4851061540461165,0.6244873849000282,0.4915283412597112,0.2067667203113889,0.3370736485884763,0.17203332779074165,0.2067667203113889,0.3370736485884763,0.17203332779074165,cp
7,0.5501713166911405,0.48115903535354215,0.6167195465534284,0.4953228465328234,0.20812868983288782,0.42718089471152487,0.2107152474609126,0.20812868983288782,0.42718089471152487,0.2107152474609126,cp
8,0.5577864838393731,0.4976826898471603,0.6246893432147341,0.5036696293604627,0.202444700029422,0.35744153631717523,0.1813803426266727,0.202444700029422,0.35744153631717523,0.1813803426266727,cp
9,0.555337904015671,0.5457520189830654,0.6415636362266645,0.5096195039368858,0.1607587489968542,0.21960923623445827,0.10720256900355211,0.1607587489968542,0.21960923623445827,-0.11878144928432016,cp
10,0.5528893241919687,0.5171433214169646,0.6203914362106193,0.5027629720230459,0.1648685570025756,0.316500904159132,0.15780087988300356,0.1648685570025756,0.316500904159132,0.15780087988300356,cp
