fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9995105237395986,0.9994544462629569,0.9996087636932707,0.9995312667068393,0.1419878404323402,0.0,0.000429553264604811,0.1419878404323402,-0.0015408320493066618,-0.0007704160246533309,cp
2,0.9995105237395986,0.9994692144373672,0.9996128532713898,0.999540709908767,0.14853285672144234,0.0,-0.0018050541516245488,0.14853285672144234,0.004761904761904745,0.0023809523809523725,cp
3,1.0,1.0,1.0,1.0,0.16504956760177175,0.0,0.0,0.16504956760177175,0.0,0.0,cp
4,0.9975526186979932,0.9970184853905785,0.9980886850152905,0.9975441404586327,0.12790088323587084,0.0,0.0,0.12790088323587084,0.024038461538461564,0.012019230769230782,cp
5,0.9990210474791973,0.9988283538371411,0.9992211838006231,0.9990232819921477,0.0839565921486142,0.0,0.0,0.0839565921486142,-0.0029239766081871066,-0.0014619883040935533,cp
6,0.9970631424375918,0.9965082895604939,0.9975543491218785,0.9970220700650326,0.15499270182267302,-0.0016920473773265332,-0.0008460236886632666,0.15499270182267302,0.02617801047120416,0.013559372121773295,cp
7,0.5912873225648556,0.6242101451814476,0.5950042390294289,0.4712827349431503,-0.006138343493394358,-0.015279703460569876,-0.00973190193948996,-0.006138343493394358,1.0,0.6150186275779578,cp
8,0.9995102840352595,0.9995949777237748,0.9994121105232217,0.9995031615771133,0.14043919009281297,0.0,0.0,0.14043919009281297,-0.0020408163265306367,-0.0010204081632653184,cp
9,0.9965719882468168,0.9958220444612286,0.9972962533796833,0.9965433579330519,0.12439337487084756,0.0,-0.0017482517482517483,0.12439337487084756,0.03431372549019607,0.017156862745098034,cp
10,0.6919686581782566,0.8249365997776027,0.7463496666290984,0.6786243277313422,0.11072916958478415,0.012499999999999956,0.006693262411347495,0.11072916958478415,-0.9884051036682615,-0.49730814189624256,cp
