fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9995105237395986,0.9994544462629569,0.9996087636932707,0.9995312667068393,0.1419878404323402,0.0,0.000429553264604811,0.1419878404323402,-0.0015408320493066618,-0.0007704160246533309,dp
2,0.9990210474791973,0.9988696940536742,0.9992257065427798,0.9990467688481068,0.14853285672144234,0.0,-0.0018050541516245488,0.14853285672144234,0.00952380952380949,0.004761904761904745,dp
3,1.0,1.0,1.0,1.0,0.16504956760177175,0.0,0.0,0.16504956760177175,0.0,0.0,dp
4,1.0,1.0,1.0,1.0,0.12790088323587084,0.0,0.0,0.12790088323587084,0.0,0.0,dp
5,0.9990210474791973,0.9988283538371411,0.9992211838006231,0.9990232819921477,0.0839565921486142,0.0,0.0,0.0839565921486142,-0.0029239766081871066,-0.0014619883040935533,dp
6,0.9995105237395986,0.9996141975308642,0.999485596707819,0.9995495868107334,0.15499270182267302,-0.0016920473773265332,-0.0008460236886632666,0.15499270182267302,-0.0016920473773265332,-0.0008460236886632666,dp
7,1.0,1.0,1.0,1.0,0.1452798984634911,0.0,0.0,0.1452798984634911,0.0,0.0,dp
8,1.0,1.0,1.0,1.0,0.14043919009281297,0.0,0.0,0.14043919009281297,0.0,0.0,dp
9,0.9990205680705191,0.9988633454409662,0.9992275009656238,0.9990444869340357,0.12439337487084756,0.0,-0.0017482517482517483,0.12439337487084756,0.009803921568627416,0.004901960784313708,dp
10,0.9995102840352595,0.9994742376445847,0.9995969367190649,0.9995352577799359,0.10795908648229108,0.0,0.0004432624113475177,0.10795908648229108,-0.0015948963317384823,-0.0007974481658692412,dp
