fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9275575134605971,0.9297435074835012,0.930611354832089,0.9301137644574963,0.11624831117115836,0.01581100618290321,0.004790044283853143,0.11624831117115836,0.01581100618290321,-0.008950381679389312,eo
2,0.9251101321585903,0.928823158890984,0.9289187492011625,0.9286675358724921,0.11497162886741047,-0.03591496263685334,-0.020302942375849262,0.11497162886741047,-0.03591496263685334,-0.020302942375849262,eo
3,0.9285364659813999,0.9336513645732957,0.9336486589164957,0.9334976451383495,0.14741361127071986,0.03644331680313684,0.01949085802319041,0.14741361127071986,0.03644331680313684,0.01949085802319041,eo
4,0.9280469897209985,0.9303694693450407,0.9322743966811888,0.9312337171601882,0.11731766992312898,0.037177583457075225,0.020031981656155107,0.11731766992312898,0.037177583457075225,0.020031981656155107,eo
5,0.9324522760646109,0.9356053701610275,0.9354411616922923,0.9354266218689772,0.062161457848593726,0.00821167883211682,-0.0029607847019432233,0.062161457848593726,0.00821167883211682,-0.0029607847019432233,eo
6,0.9280469897209985,0.9343066042692314,0.9318156349989747,0.9326201092588059,0.1281148246566114,0.08023866773532817,0.0295201223222374,0.1281148246566114,0.08023866773532817,0.0295201223222374,eo
7,0.9236417033773862,0.926856735527993,0.9288176254771221,0.9277137865111266,0.1158939251168247,0.09320619110947626,0.03023544967713584,0.1158939251168247,0.09320619110947626,0.03023544967713584,eo
8,0.930460333006856,0.9336187445959823,0.9349654535992716,0.9342301404771809,0.137083299899252,0.013886737907180868,0.016583052657837598,0.137083299899252,-0.027259097723865366,0.016583052657837598,eo
9,0.9309500489715965,0.9334048065345039,0.9364123110676833,0.9347929097485209,0.11725476689940201,0.0018709295441089457,0.0062208770342109185,0.11725476689940201,-0.016000178523609798,0.0062208770342109185,eo
10,0.9333986287952988,0.9381161042471119,0.9348069021243918,0.9359965340512398,0.10316376118291279,0.06272603978300184,0.03041970700187168,0.10316376118291279,0.06272603978300184,0.03041970700187168,eo
