fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9194630872483222,0.9367109634551495,0.9136397386397388,0.9189196729196729,0.0049833887043189695,0.0,-0.002937538651824362,0.0049833887043189695,0.4,0.2,cp
2,0.9194630872483222,0.9261385438517925,0.9217561610899618,0.9186489175793081,0.10346070656092285,0.0,0.03609913793103448,0.10346070656092285,-0.16666666666666663,-0.10185185185185183,cp
3,0.9395973154362416,0.9382662564821486,0.9373472474289171,0.9362287489120655,0.09439421338155513,0.0,0.007923497267759563,0.09439421338155513,0.15999999999999992,0.07230769230769227,cp
4,0.9060402684563759,0.907789414886189,0.9026432334360723,0.9020601408617642,0.0074033947273383915,0.0,-0.003978779840848809,0.0074033947273383915,-0.6973684210526315,-0.36563336306868865,cp
5,0.912751677852349,0.9238425925925926,0.9092974910394265,0.913721429360655,0.01770244821092276,-0.04347826086956519,-0.02449707981829979,0.01770244821092276,0.42000000000000004,0.21000000000000002,cp
6,0.8791946308724832,0.8859409627387779,0.8795925566628451,0.8783711786266946,0.07685352622061484,0.09090909090909094,0.044065270655990314,0.07685352622061484,0.4473684210526315,0.20095693779904303,cp
7,0.9328859060402684,0.9387543859649122,0.9337591036414565,0.9357036284003015,0.043668954996186116,-0.11538461538461542,-0.08420745920745923,0.043668954996186116,0.1499999999999999,-0.08420745920745923,cp
8,0.9261744966442953,0.923103448275862,0.9366876657824934,0.9244679147159367,-0.012626262626262624,0.0,-0.009530791788856303,-0.012626262626262624,0.18181818181818177,0.0829902245573265,cp
9,0.9463087248322147,0.9414736842105264,0.9368999801940978,0.9357150281632289,0.06175514626218853,0.0,-0.0003840245775729653,0.06175514626218853,0.3035714285714286,0.14384920634920637,cp
10,0.8926174496644296,0.9051803751803753,0.8957717113665389,0.8950744000177199,0.13099099099099096,-0.05555555555555558,-0.005915429599640143,0.13099099099099096,-0.1336032388663968,-0.057873048004626976,cp
