fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.959731543624161,0.96309412861137,0.9576898326898327,0.958260544304608,-0.009782207456626058,0.0,-0.012832405689548545,-0.009782207456626058,0.32499999999999996,0.16249999999999998,cp
2,0.9395973154362416,0.9410576923076924,0.940451813263875,0.9377202504865145,0.06236481614996395,0.0,0.010237068965517241,0.06236481614996395,-0.16666666666666663,-0.09438916528468766,cp
3,0.9664429530201343,0.9645238095238096,0.9656974332382682,0.9650209846650524,0.08499095840867993,-0.05555555555555558,-0.019581056466302378,0.08499095840867993,-0.0714285714285714,-0.04404761904761903,cp
4,0.9328859060402684,0.92940697295536,0.9294434607733841,0.9291800867812705,-0.023293607800650068,-0.15384615384615385,-0.0836870026525199,-0.023293607800650068,-0.4473684210526315,-0.24063336306868865,cp
5,0.959731543624161,0.9587491958459701,0.9594671445639188,0.958979274839758,0.06327683615819207,0.07692307692307687,0.045924225028702616,0.06327683615819207,0.18181818181818177,0.08763528138528136,cp
6,0.9194630872483222,0.9215137803373097,0.916685774759679,0.9177586107756885,0.040506329113924044,0.03535353535353536,0.0001719052149727375,0.040506329113924044,0.19736842105263153,0.1070175438596491,cp
7,0.9395973154362416,0.9397843554295167,0.9396414565826332,0.9394690217657896,0.06788710907704043,-0.11538461538461542,-0.07094988344988347,0.06788710907704043,0.1499999999999999,0.0819444444444444,cp
8,0.9328859060402684,0.9261266688084528,0.9352682518630795,0.9295714013386427,-0.023809523809523808,0.19999999999999996,0.06774193548387095,-0.023809523809523808,0.19999999999999996,0.09118694586880191,cp
9,0.9664429530201343,0.9655172413793103,0.9579124579124579,0.958805621437927,0.07583965330444206,0.0,0.0076804915514592925,0.07583965330444206,0.1785714285714286,0.0892857142857143,cp
10,0.9395973154362416,0.9443588595312733,0.939242337164751,0.9389835607972499,0.1715315315315315,0.0,0.03616734143049932,0.1715315315315315,-0.15000000000000002,-0.07500000000000001,cp
