fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9194630872483222,0.9341269841269841,0.9142807642807643,0.919164613636646,-0.006644518272425237,0.0,-0.010513296227581938,-0.006644518272425237,0.4,0.2,eo
2,0.9060402684563759,0.9214156079854809,0.908161691043879,0.906272324167061,0.09084354722422494,0.0,0.0290948275862069,0.09084354722422494,-0.12121212121212122,-0.08838383838383838,eo
3,0.9395973154362416,0.9486590038314177,0.9328402903811253,0.9352844159315691,0.07848101265822782,0.0,-0.0005464480874316918,0.07848101265822782,-0.18571428571428572,-0.09285714285714286,eo
4,0.9261744966442953,0.9272268907563024,0.9235834043762432,0.9211038741436809,-0.005417118093174439,0.0,-0.012599469496021223,-0.005417118093174439,-0.6973684210526315,-0.36563336306868865,eo
5,0.9194630872483222,0.93421926910299,0.9186308243727599,0.9221421480895022,0.028813559322033888,-0.04347826086956519,-0.017034393251135614,0.028813559322033888,0.42000000000000004,0.21000000000000002,eo
6,0.8859060402684564,0.9021509324009325,0.8824323132551373,0.8867565680008255,0.08951175406871612,0.03535353535353536,0.03268093550116335,0.08951175406871612,0.4473684210526315,0.22368421052631576,eo
7,0.912751677852349,0.9253729232944503,0.9097591036414565,0.9156937799043062,0.0194508009153318,-0.11538461538461542,-0.09746503496503497,0.0194508009153318,0.17647058823529416,-0.09746503496503497,eo
8,0.9194630872483222,0.9195238095238094,0.9304376657824933,0.9172830148393295,0.013347763347763358,0.0,0.0056207233626588485,0.013347763347763358,0.18181818181818177,0.08271236959761548,eo
9,0.9530201342281879,0.9494736842105264,0.9408215488215488,0.9416135935299698,0.06175514626218853,0.0,-0.0003840245775729653,0.06175514626218853,0.3035714285714286,0.14384920634920637,eo
10,0.9060402684563759,0.9140500338066261,0.9075772669220944,0.9074350465310695,0.13117117117117116,-0.05555555555555558,-0.006995051731893853,0.13117117117117116,0.09999999999999998,0.04999999999999999,eo
