fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8401360544217688,0.8611217017014118,0.8379237271445339,0.8464353091036078,-0.03313840155945419,0.11286089238845143,0.011904302403376046,-0.03313840155945419,0.1584378265412748,0.034950486427953134,cp
2,0.8537414965986394,0.8693041193041192,0.8510850933842006,0.8569707184997455,-0.07617929144646701,0.13576238576238575,0.04100043165609624,-0.07617929144646701,0.13576238576238575,0.04795965328742624,cp
3,0.8571428571428571,0.8584408178184676,0.8592097580964442,0.8588213586181982,-0.09572325869817433,0.08652618135376755,-0.020141412326000058,-0.09572325869817433,0.09659090909090917,0.043368965409477815,cp
4,0.8520408163265306,0.8646279822600381,0.8414498491704374,0.8500074611153243,0.006601144198327719,0.23552413896826596,0.09800233910796424,0.006601144198327719,0.23552413896826596,0.09800233910796424,cp
5,0.8316326530612245,0.857456995414644,0.8230813144418033,0.835016926106785,-0.04310041103934231,0.17816091954022995,0.057687559649778036,-0.04310041103934231,0.17816091954022995,0.057687559649778036,cp
6,0.848381601362862,0.8573386777752496,0.847419544196156,0.8516265587462998,-0.10449057115723781,0.030361090641120136,-0.044813847726818686,-0.10449057115723781,0.16259740259740252,0.08160926030491245,cp
7,0.848381601362862,0.8570416729385425,0.8407476488580167,0.8481218246548435,-0.07218721872187223,0.05736750145602798,0.0050343918884091995,-0.07218721872187223,0.07456828885400313,0.03202647106587993,cp
8,0.8432708688245315,0.8662218604146315,0.8318314726209463,0.8445951057531712,-0.08218366483283962,0.12861136999068035,0.05487531400973663,-0.08218366483283962,0.12861136999068035,0.05487531400973663,cp
9,0.8620102214650767,0.8709492678682821,0.8601556412867087,0.8643559018221337,-0.0914261697954609,0.1679841897233202,0.04692381537733732,-0.0914261697954609,0.1679841897233202,0.04692381537733732,cp
10,0.858603066439523,0.8774333774333775,0.8490373647934715,0.8592868968730606,0.014077747560390319,0.16122202056866297,0.06272737529390719,0.014077747560390319,0.16122202056866297,0.06272737529390719,cp
