fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8367346938775511,0.8517331749964169,0.8333425897478316,0.8407771421638334,0.04928989139515455,0.24709411323584551,0.10805335913893116,0.04928989139515455,0.24709411323584551,0.10805335913893116,dp
2,0.8418367346938775,0.8540920202911787,0.8415047381565239,0.8459506898783956,-0.05836758661186142,0.14502164502164505,0.05615637707519957,-0.05836758661186142,0.14502164502164505,0.05615637707519957,dp
3,0.8520408163265306,0.85967948508684,0.8492552873557907,0.8539869005949176,-0.008388120607571936,0.11047254150702424,0.04811930379846278,-0.008388120607571936,0.11047254150702424,-0.04952020202020202,dp
4,0.8622448979591837,0.877651500295091,0.8491976705212,0.8597635403717575,0.04866176803979358,0.2958339599939841,0.14574259426096248,0.04866176803979358,0.2958339599939841,0.14574259426096248,dp
5,0.8316326530612245,0.8580093360358699,0.8223081872757142,0.8343474295739578,0.005558817772558233,0.2220689655172413,0.10644663678990826,0.005558817772558233,0.2220689655172413,0.10644663678990826,dp
6,0.8654173764906303,0.8772228867623605,0.8608017419861499,0.8677130162322081,-0.011083977750644403,0.14988946204863673,0.05683427405767974,-0.011083977750644403,0.14988946204863673,0.05683427405767974,dp
7,0.8534923339011925,0.858980271779673,0.8507828292109227,0.8546724793203667,-0.03420342034203422,0.10177635410599883,0.04547510158526766,-0.03420342034203422,0.10177635410599883,-0.05829752182707133,dp
8,0.8432708688245315,0.8584069241245991,0.8392493778363344,0.8469831499533337,-0.03707151925518409,0.20363466915191053,0.10590094476421662,-0.03707151925518409,0.20363466915191053,0.10590094476421662,dp
9,0.8432708688245315,0.8579986241606044,0.8374930559540719,0.8461388074291301,-0.0043709722611375845,0.31488801054018445,0.14641424241795153,-0.0043709722611375845,0.31488801054018445,0.14641424241795153,dp
10,0.8534923339011925,0.8672299900571714,0.8462321675448656,0.8543020741597571,0.036940756145683346,0.1870840895341802,0.08654234147898285,0.036940756145683346,0.1870840895341802,0.08654234147898285,dp
