fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8333333333333334,0.8520207116827193,0.8312270066724962,0.8394828303457705,0.013088276246170982,0.19185101862267218,0.06668881463346495,0.013088276246170982,0.19185101862267218,0.06668881463346495,eo
2,0.8435374149659864,0.8582246528169523,0.8422731564472636,0.8473326267443914,-0.06596202779408888,0.13949013949013944,0.04812746641470993,-0.06596202779408888,0.13949013949013944,0.04812746641470993,eo
3,0.8554421768707483,0.867538592888294,0.8495443222833797,0.8571797402830034,-0.04152719804766161,0.13569604086845466,0.03157530037707994,-0.04152719804766161,0.13569604086845466,0.04072720280550283,eo
4,0.8384353741496599,0.8519673198127767,0.8287770236299649,0.8365679751324899,-0.0033739181458119494,0.23161377650774562,0.08811064994119613,-0.0033739181458119494,0.23161377650774562,0.08811064994119613,eo
5,0.8299319727891157,0.8570515548181623,0.8213736604502907,0.8331655647774735,-0.002074770013701266,0.19620689655172407,0.09351560230714964,-0.002074770013701266,0.19620689655172407,0.09351560230714964,eo
6,0.8568994889267462,0.8722924035296987,0.8500115021854153,0.8589812700393243,-0.010527743861077243,0.13249815770081064,0.05220366253417319,-0.010527743861077243,0.13249815770081064,0.05220366253417319,eo
7,0.8449744463373083,0.8485009125963211,0.84360546551182,0.8459394347285594,-0.0867943937250868,0.0771694816540478,1.000885309074967e-05,-0.0867943937250868,-0.1029411764705882,0.06096059113300492,eo
8,0.838160136286201,0.8526326586518022,0.8321813674502462,0.8405650963052039,-0.02159684017491892,0.2208760484622554,0.12305222688893501,-0.02159684017491892,0.2208760484622554,0.12305222688893501,eo
9,0.8432708688245315,0.8594090295228815,0.8372453677272889,0.8459715914697653,-0.029462034183244612,0.23135704874835306,0.1062244419294845,-0.029462034183244612,0.23135704874835306,0.1062244419294845,eo
10,0.8415672913117547,0.8615789224412925,0.8312098891998202,0.8425818944254857,0.02159654455287152,0.20493042952208107,0.08048156088895034,0.02159654455287152,0.20493042952208107,0.08048156088895034,eo
