fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8384353741496599,0.8582125603864735,0.8372948817936173,0.8427422661404225,-0.0607073238652186,0.08936382952130983,-0.014841894763154603,-0.0607073238652186,0.20415360501567403,0.08154874970255649,eo
2,0.858843537414966,0.8785005681963877,0.8549573968100753,0.8622158334901774,-0.08122920336660797,0.09499759499759497,0.027338226579975002,-0.08122920336660797,0.138655462184874,0.058149357911790996,eo
3,0.8792517006802721,0.8816061893865098,0.8808080422957655,0.8811092426415974,-0.09250936829050371,0.05076628352490431,-0.028099938905325708,-0.09250936829050371,0.11931818181818188,0.03672864688767993,eo
4,0.8554421768707483,0.8738092323813307,0.8459778783308195,0.8543381545608165,-0.01833651166202141,0.15491051285907653,0.05652679372025364,-0.01833651166202141,0.15491051285907653,0.05652679372025364,eo
5,0.8367346938775511,0.8677422363025918,0.8304937880439561,0.8414670918872599,-0.04286553141514973,0.13586206896551722,0.04598458442259014,-0.04286553141514973,0.13586206896551722,0.04598458442259014,eo
6,0.8705281090289608,0.88005044860634,0.8694363135892371,0.8737771686959509,-0.06380409713743046,0.04642593957258656,-0.011157649781971368,-0.06380409713743046,0.1148051948051948,0.046429512516469026,eo
7,0.8654173764906303,0.8739727019296911,0.8601065415446687,0.86622567510301,-0.11065963739231069,0.02766453115899825,-0.03136428686952337,-0.11065963739231069,0.1334379905808477,0.05160910518053374,eo
8,0.848381601362862,0.8714463356803851,0.8421384901648059,0.8522904529395635,-0.09548596416984056,0.1211556383970177,0.03929459660714672,-0.09548596416984056,0.1211556383970177,0.03929459660714672,eo
9,0.8739352640545145,0.885333395476013,0.8720865820227649,0.8758408669458578,-0.057957411039506884,0.19696969696969702,0.08077038087383466,-0.057957411039506884,0.19696969696969702,0.08077038087383466,eo
10,0.8722316865417377,0.8963085906474072,0.8615394436017222,0.8715506085712935,0.004972537727296944,0.08333333333333337,0.03374985389187101,0.004972537727296944,-0.10924369747899154,-0.06693387881468374,eo
