fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.648,0.5906371793497769,0.4630499587277433,0.4818723322387497,-0.020555877243775278,0.00977060322854717,-0.008622834218764974,-0.020555877243775278,-0.12640801001251567,-0.06584684417061726,cp
2,0.6576,0.5206862258792406,0.4548430577457385,0.4645275323762212,-0.03955785893594621,-0.050065876152832756,-0.019831992449938857,-0.03955785893594621,-0.11263736263736263,-0.06224460724460724,cp
3,0.6656,0.7761412029704713,0.49184828270194125,0.5102753438296588,-0.09324622208057787,-0.05909090909090908,-0.06296540853710489,-0.09324622208057787,0.12669683257918551,0.07399060702487459,cp
4,0.6464,0.51226826245152,0.4582008607841539,0.46723329682365833,-0.04820054666936624,0.022050551263781637,-0.016901329872696325,-0.04820054666936624,-0.1657303370786517,-0.08532243349659081,cp
5,0.6544,0.5209530218721395,0.4681721757852077,0.47913783591434117,-0.09040859447073174,-0.05183946488294322,-0.05383575814050337,-0.09040859447073174,-0.160427807486631,-0.07757330708941507,cp
6,0.6928,0.6801987170606583,0.5110460583828144,0.5311892824017888,-0.021424952670452968,-0.01748421563865954,0.017988661411439455,-0.021424952670452968,-0.12070938215102978,-0.07033527652779846,cp
7,0.6634615384615384,0.529636347933634,0.46257686084142396,0.47492002445167336,0.04471125115445207,0.0311031550682479,0.025526110641084898,0.04471125115445207,-0.15229885057471265,-0.0796612614759921,cp
8,0.6730769230769231,0.6189207650273224,0.4947872759550391,0.5206421795485814,0.016285001159317525,0.007722007722007707,0.04074767342244545,0.016285001159317525,-0.12223393045310854,-0.06744276830323889,cp
9,0.6618589743589743,0.692253008613187,0.49273690160075756,0.5233652952703264,-0.0286574487065121,-0.08582375478927207,-0.006733050622304226,-0.0286574487065121,-0.14285714285714285,-0.07252027448533999,cp
10,0.6201923076923077,0.6519821308805211,0.4715973492872336,0.4925629078699444,-0.06986938629450712,-0.0850259386265717,-0.04854417424314031,-0.06986938629450712,-0.1,-0.05107296137339056,cp
