fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6688,0.6295514535484932,0.5187086391339757,0.5393067773645432,-0.12806408029337962,-0.11016709147550274,-0.11654445836597917,-0.12806408029337962,0.15056474384832597,0.15549304058364127,dp
2,0.688,0.6071080712566904,0.5334128535397038,0.5532489945218778,0.015277890247523462,-0.0039525691699604515,0.03880385725899138,0.015277890247523462,-0.12741589119541874,-0.07493641643223217,dp
3,0.6928,0.7742999340408947,0.5561511771877625,0.5854788849418252,-0.11852973202666456,-0.10303030303030303,-0.08793842833205534,-0.11852973202666456,-0.10303030303030303,0.09904954536968655,dp
4,0.6928,0.6956143948066404,0.581671547509307,0.6164988237723839,-0.0633858068434906,-0.06735168379209477,-0.040886851070359304,-0.0633858068434906,-0.3125,-0.1516243875902762,dp
5,0.6736,0.6390168114195094,0.5299525075987842,0.5523695411700072,-0.1230098503109841,-0.038127090301003363,-0.07591360396870817,-0.1230098503109841,-0.16666666666666666,0.115661292741089,dp
6,0.696,0.6539360632102569,0.5349757663531127,0.5445029657937308,-0.04027677785777134,-0.019184069936862502,0.002254118877722616,-0.04027677785777134,-0.08333333333333333,-0.04277531411677753,dp
7,0.6602564102564102,0.6491790046584567,0.5145735090152566,0.5418165168165169,-0.03862660944206009,-0.0815618706645782,-0.05828942429663547,-0.03862660944206009,-0.27873563218390807,-0.16003004805895393,dp
8,0.7035256410256411,0.6876391700404858,0.5736959586466165,0.6020962844202008,0.05729756270543784,0.0641355641355641,0.08886326621888929,0.05729756270543784,-0.2,-0.10221238938053098,dp
9,0.657051282051282,0.6692653754236825,0.50626373307174,0.5314541889047913,-0.11808652988403212,-0.07478927203065133,-0.08151988366800894,-0.11808652988403212,-0.14285714285714285,-0.08151988366800894,dp
10,0.6474358974358975,0.6335266433128275,0.5353726675600384,0.5632801460665238,-0.016460905349794275,0.0035171019080277865,0.014563935334067218,-0.016460905349794275,-0.3,-0.15536480686695278,dp
