fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.5104,0.433295788334548,0.4872513425298003,0.4344562247788054,-0.05098298728871978,0.05749079580855282,-0.03474947298359059,-0.05098298728871978,-0.18335419274092613,-0.14998413038854666,eo
2,0.5264,0.46612468831463216,0.567992724911546,0.4767238950883729,-0.1266229384295625,-0.173536608319217,-0.12010163749294184,-0.1266229384295625,-0.173536608319217,-0.12010163749294184,eo
3,0.5296,0.4758392089036268,0.5588264603508506,0.49106328587179887,-0.1384617427562213,-0.13484848484848483,-0.12642569083525035,-0.1384617427562213,-0.3833333333333334,0.2169360975326648,eo
4,0.52,0.45795324776797913,0.5558660517013969,0.47491041451179616,0.09914709455355333,0.16102902572564315,0.1183677238719959,0.09914709455355333,-0.625,-0.32402064504932654,eo
5,0.496,0.44457377487556354,0.5255426798378926,0.4497080645572525,0.0009374163021158843,0.11003344481605348,0.03336709793965284,0.0009374163021158843,0.5793650793650793,0.37186161160753844,eo
6,0.5472,0.47857226342709086,0.5444279135398982,0.48519021390476147,-0.021518278537716984,0.05860450056661809,0.012225327206385972,-0.021518278537716984,0.24916697519437248,0.2101692346576967,eo
7,0.5432692307692307,0.4819186045081185,0.5795850670365233,0.5002868732321141,0.005514206551855305,-0.022600134258223326,-0.004827231815019983,0.005514206551855305,-0.5,-0.24921957054498775,eo
8,0.48878205128205127,0.4164195028922561,0.492884317802081,0.42134356395504774,-0.102224525702751,-0.0248820248820249,-0.08293601895425605,-0.102224525702751,0.7333333333333334,0.4216927615157704,eo
9,0.5464743589743589,0.4820156695156695,0.5630578814096358,0.4913282241778577,0.044157002676182,0.044367816091954004,0.06303583327640166,0.044157002676182,-0.3714285714285714,-0.1845780233490776,eo
10,0.49198717948717946,0.42675840965249945,0.47066959253211144,0.4280123988914323,-0.1379495437466452,-0.266332541985404,-0.14966467578270243,-0.1379495437466452,0.75,0.48931165401122484,eo
