fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6752,0.6355412184780611,0.5413420808463648,0.564590785041829,-0.08310585380649077,-0.021523647691871983,-0.06623140290500922,-0.08310585380649077,-0.2,0.1267625600325823,eo
2,0.6784,0.6363736444848996,0.5288748569939352,0.5499808140599713,-0.039328420654843876,-0.06775832862789377,-0.018276327434514267,-0.039328420654843876,-0.10210622710622713,-0.056830891330891344,eo
3,0.68,0.773318072400375,0.544431573394988,0.5768143916896669,-0.15136908081693357,-0.16969696969696968,-0.1274701087728267,-0.15136908081693357,-0.2,0.15628691470662548,eo
4,0.6656,0.6486202595487344,0.5342045689703826,0.5639280608383291,-0.09502176553958286,-0.06705167629190723,-0.06991115924687102,-0.09502176553958286,-0.20674157303370788,-0.11779386343993087,eo
5,0.6544,0.5883836842977548,0.509071681864235,0.5289770034438223,-0.10851709668779569,-0.010200668896321097,-0.060027490361652544,-0.10851709668779569,0.1967343687773796,0.13917690098788008,eo
6,0.7056,0.7214945924622163,0.5616880601558927,0.5852499198601016,-0.02731781457483401,-0.031730613566456234,0.010788539370618022,-0.02731781457483401,-0.25,-0.13547786460765174,eo
7,0.6666666666666666,0.679681103210515,0.5108564493758668,0.5352049393709768,-0.0894768294670506,-0.052584470798836436,-0.11054520653693944,-0.0894768294670506,0.24505327245053266,0.17745452084065094,eo
8,0.6955128205128205,0.7063341750841751,0.5679249022176653,0.5945774222966466,-0.038243838568447486,-0.0493350493350494,-0.011228532049200768,-0.038243838568447486,-0.2,-0.10940922899224009,eo
9,0.6842948717948718,0.7136171189553153,0.5406875485792298,0.5735702495090401,-0.0637823371989295,-0.045287356321839,-0.026519981029383632,-0.0637823371989295,-0.21428571428571427,-0.1082345601996257,eo
10,0.6522435897435898,0.6112475730095425,0.5334758920783573,0.5553301493945357,-0.07854714617999642,-0.1169436384419239,-0.05720439209802153,-0.07854714617999642,-0.25,-0.13143776824034334,eo
