fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6216216216216216,0.6292998477929984,0.5819530710835058,0.5749187432286024,0.1373913043478261,0.3571428571428571,0.1892028718703976,0.1373913043478261,0.3571428571428571,0.1892028718703976,cp
2,0.6081081081081081,0.5888249005896066,0.5677434908389585,0.5576519916142558,0.006178861788617887,-0.0692307692307692,-0.03736452550885539,0.006178861788617887,-0.13227513227513232,0.04738900391074301,cp
3,0.5608108108108109,0.5166080230588199,0.5125485625485625,0.5112886165517745,0.010607915136678886,0.0248447204968944,-0.007231727801867267,0.010607915136678886,0.03508771929824561,0.04200680272108839,cp
4,0.6258503401360545,0.6146883963911991,0.6094988344988345,0.6080556279484362,-0.0030487804878048808,0.025089605734766984,-0.024774037712326648,-0.0030487804878048808,0.05684754521963831,0.04300710594315249,cp
5,0.5986394557823129,0.5270554313786064,0.5103378295631483,0.5035103785103785,0.04103053435114504,-0.038961038961038974,0.003964944331916798,0.04103053435114504,0.23529411764705888,0.14451219512195118,cp
6,0.6190476190476191,0.5828536859389853,0.5659025584108824,0.5705966836401619,0.053393665158371045,0.16666666666666669,0.11226415094339623,0.053393665158371045,0.172093023255814,-0.12258943378346364,cp
7,0.6666666666666666,0.6329365079365079,0.6151919760600527,0.6163951885783567,0.10680228862047045,-0.10822510822510822,0.01088744588744589,0.10680228862047045,-0.10822510822510822,-0.013580799045915345,cp
8,0.5782312925170068,0.5716435185185186,0.5472913389580056,0.5447518368570999,0.060185185185185175,0.09440559440559443,0.03589960571343551,0.060185185185185175,0.1863636363636364,0.08892485223754576,cp
9,0.5850340136054422,0.5580249153362361,0.5574907273020481,0.5285487880152812,0.03236363636363636,0.14285714285714285,0.06031746031746031,0.03236363636363636,-0.14596273291925466,0.06031746031746031,cp
10,0.5782312925170068,0.5352467028828742,0.5379041248606465,0.5346441829471834,0.031746031746031744,0.26666666666666666,0.10535714285714286,0.031746031746031744,0.26666666666666666,-0.12056159420289857,cp
