fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6148648648648649,0.6106837606837606,0.567736369910283,0.5541310541310541,-0.0010434782608695625,0.07142857142857142,0.009941089837997054,-0.0010434782608695625,0.07142857142857142,0.03436532507739937,dp
2,0.6013513513513513,0.5844901137594799,0.5546894531947569,0.5384967689315515,0.038699186991869916,0.007692307692307693,0.01140629130319852,0.038699186991869916,-0.1507936507936508,-0.02232387140902875,dp
3,0.5608108108108109,0.5157542836364716,0.5152680652680653,0.5120256396439394,0.002855977152182776,0.0248447204968944,-0.011948708933942738,0.002855977152182776,0.07017543859649122,0.04619883040935671,dp
4,0.5918367346938775,0.6062778639609799,0.5659090909090909,0.5561746819790047,-0.03861788617886179,-0.0681003584229391,-0.06665887486364347,-0.03861788617886179,-0.0681003584229391,0.06679586563307496,dp
5,0.6190476190476191,0.5838089081786562,0.5378925453559369,0.5402340126283031,0.11116412213740458,0.05844155844155843,0.061840554959821006,0.11116412213740458,0.22058823529411764,0.10840108401084009,dp
6,0.6054421768707483,0.563220439691028,0.5598551467030934,0.5612563543936093,0.14796380090497738,0.125,0.1486635220125786,0.14796380090497738,0.125,0.1486635220125786,dp
7,0.6666666666666666,0.6265811965811966,0.6092386893893286,0.6083348930064258,0.1150667514303878,-0.06060606060606061,0.0346969696969697,0.1150667514303878,-0.07441860465116279,0.0346969696969697,dp
8,0.5578231292517006,0.5307840307840307,0.5207052290385624,0.5098081656905187,-0.013888888888888895,-0.04895104895104896,-0.041097864901056394,-0.013888888888888895,0.14090909090909098,0.05961863214185201,dp
9,0.5782312925170068,0.5471567048719649,0.555780173704702,0.5422636213150046,-0.05563636363636365,-0.11428571428571427,-0.0738095238095238,-0.05563636363636365,-0.1477272727272727,-0.0738095238095238,dp
10,0.5986394557823129,0.5556455240665766,0.5539762170196952,0.5541522465026908,-0.0873015873015873,0.01904761904761909,-0.06190476190476188,-0.0873015873015873,0.13898305084745766,0.2526665593450314,dp
