fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.405,0.3053454904228898,0.31851279254296494,0.2942930974122549,0.3110789582472096,0.3171717171717171,0.23121034216924624,0.3110789582472096,0.3171717171717171,-0.24017699115044247,eo
2,0.455,0.40608547008547013,0.41542483660130725,0.3789849542107241,0.2685754612360117,-0.013636363636363669,0.07732236898903566,0.2685754612360117,0.326797385620915,0.21203249144425612,eo
3,0.38,0.3591105427678318,0.383761961722488,0.34085622252425835,0.2539779681762546,0.275,0.18770215633423182,0.2539779681762546,0.2785714285714286,0.18770215633423182,eo
4,0.295,0.31647058823529417,0.24824190497385112,0.17942099436760217,0.06906215594034637,-0.046511627906976716,-0.006589147286821695,0.06906215594034637,0.06842105263157897,0.030284043441938177,eo
5,0.32160804020100503,0.37321734690155745,0.2943939393939394,0.25227906593125227,0.19979736575481255,0.2564102564102565,0.203962703962704,0.19979736575481255,-0.3783783783783784,0.203962703962704,eo
6,0.22110552763819097,0.24343434343434342,0.20487804878048782,0.08089310412961866,0.010526315789473717,0.0,0.005376344086021501,0.010526315789473717,-0.030303030303030304,-0.015151515151515152,eo
7,0.4723618090452261,0.5039950980392157,0.47200045568466625,0.4306615375648423,0.2670707070707071,-0.031746031746031744,0.06746031746031747,0.2670707070707071,-0.40476190476190477,-0.21462487043472958,eo
8,0.271356783919598,0.12216404886561953,0.20117434507678408,0.09562152133580706,0.02050505050505047,-0.022727272727272707,-0.0011308915803297515,0.02050505050505047,-0.037037037037037035,-0.01964900947459087,eo
9,0.24120603015075376,0.4021978021978022,0.2295885249507866,0.13534910327767471,0.02929292929292926,-0.02564102564102566,-0.011274121067935516,0.02929292929292926,0.1111111111111111,-0.049479166666666664,eo
10,0.4221105527638191,0.41785113035113036,0.4353904157857647,0.40443269106683744,0.2674747474747475,0.36200716845878134,0.2599890914757675,0.2674747474747475,0.36200716845878134,0.2599890914757675,eo
