fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.708994708994709,0.6311890838206627,0.6169881898037238,0.6193597289102907,-0.041379310344827586,0.01025641025641022,-0.06524216524216526,-0.041379310344827586,-0.35714285714285715,-0.16114718614718615,dp
2,0.656084656084656,0.5642995588531937,0.5695585796828319,0.5666438185582977,0.08128612716763006,-0.22162162162162158,-0.036947174447174436,0.08128612716763006,-0.3157894736842105,-0.09664117558854399,dp
3,0.7354497354497355,0.6793957307060756,0.6478383728485727,0.6566055443414488,0.028173374613003094,0.10303030303030303,0.022318071223180712,0.028173374613003094,0.18292682926829268,0.06661161344855582,dp
4,0.6772486772486772,0.6144527986633249,0.5984650270364557,0.5987626360372875,0.006547930853850165,-0.1733870967741935,-0.08669354838709675,0.006547930853850165,-0.1733870967741935,-0.08669354838709675,dp
5,0.7037037037037037,0.6425416241930003,0.6327699161425576,0.6289139602625973,0.22982635342185903,0.25714285714285723,0.13847818847818852,0.22982635342185903,-0.4117647058823529,-0.26100046317739695,dp
6,0.6542553191489362,0.6263495276653172,0.6053113553113554,0.6076052170277094,-0.0378787878787879,-0.22539682539682537,-0.1623167333090997,-0.0378787878787879,0.23809523809523808,0.20697412823397074,dp
7,0.6968085106382979,0.5708690200215624,0.5941675008341675,0.573148489153119,0.03450164293537786,-0.22142857142857147,-0.109116112198304,0.03450164293537786,-0.22142857142857147,-0.109116112198304,dp
8,0.6914893617021277,0.6208684231506775,0.6024187452758881,0.6075064330840876,0.12063953488372092,0.12406015037593981,0.05788413820621203,0.12063953488372092,-0.4222222222222222,-0.21160323709536308,dp
9,0.6808510638297872,0.6340637813968159,0.638296722197651,0.63510101010101,-0.1308139534883721,-0.1578947368421053,-0.14984289080911234,-0.1308139534883721,0.5714285714285714,0.275842044134727,dp
10,0.6595744680851063,0.5955082742316785,0.6,0.5974164946877627,0.018111753371868988,0.01025641025641022,-0.01949866054343667,0.018111753371868988,0.21276595744680848,0.0670018254182003,dp
