fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6825396825396826,0.5817305765917378,0.5729661385001191,0.5677198618375089,-0.1252873563218391,-0.18974358974358974,-0.17635327635327636,-0.1252873563218391,-0.23809523809523808,-0.17635327635327636,eo
2,0.6772486772486772,0.5823109089238122,0.6011110380645586,0.5863756613756613,0.029263005780346796,-0.12972972972972974,-0.05483812689695043,0.029263005780346796,-0.12972972972972974,0.08750937171989805,eo
3,0.7354497354497355,0.6671260574033596,0.6452128382972936,0.6430444260231494,0.06315789473684208,0.2727272727272727,0.09986728599867285,0.06315789473684208,0.2727272727272727,-0.157878861003861,eo
4,0.6666666666666666,0.5948337154944098,0.5869091226234083,0.5754168494953927,-0.035620743844944985,-0.23790322580645162,-0.13747013142174433,-0.035620743844944985,-0.23790322580645162,-0.13747013142174433,eo
5,0.6772486772486772,0.6079051383399209,0.6020964360587002,0.5948671633927899,0.12768130745658837,0.05714285714285716,0.03148518148518149,0.12768130745658837,0.16666666666666669,0.08377077865266842,eo
6,0.6542553191489362,0.6133791408908555,0.6053113553113553,0.6027332144979204,0.3560606060606061,0.15873015873015872,0.22211317096813282,0.3560606060606061,-0.3673469387755102,0.22211317096813282,eo
7,0.6914893617021277,0.5720797720797721,0.6025225225225225,0.5643274853801169,0.19222343921139104,-0.12857142857142856,0.027038486627527725,0.19222343921139104,-0.22079207920792088,-0.19180629601421686,eo
8,0.6382978723404256,0.5564102564102564,0.5523809523809523,0.5534181989627535,0.046511627906976744,-0.13533834586466165,-0.027453584209279416,0.046511627906976744,-0.4544319600499376,-0.34769790773581216,eo
9,0.6276595744680851,0.5620306513409962,0.5773649810801513,0.5569104146881925,0.0043604651162790775,0.09210526315789469,0.02490835297198217,0.0043604651162790775,0.25510204081632654,0.09822465571594491,eo
10,0.6382978723404256,0.5614645858343338,0.5654545454545455,0.5609056735728647,-0.0658959537572254,-0.2153846153846154,-0.13978185993111367,-0.0658959537572254,0.22499999999999998,0.18119446343130552,eo
