fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7114093959731543,0.6907046630294684,0.7018083532789416,0.6882905252440457,-0.05204872646733111,-0.20714285714285707,-0.11145640074211499,-0.05204872646733111,0.9,0.47575757575757577,dp
2,0.6040268456375839,0.6053506493506494,0.6148109189133033,0.6085850905760449,0.060742609949531345,-0.06666666666666665,-0.005046695402298844,0.060742609949531345,0.456140350877193,0.22604471247563354,dp
3,0.7248322147651006,0.70286193095562,0.7020521130412238,0.6894607452044523,0.07070524412296564,-0.022222222222222254,-0.0033242258652094875,0.07070524412296564,0.15999999999999992,-0.17886557886557886,dp
4,0.697986577181208,0.6712497306614954,0.6773760027979977,0.6702902851148328,-0.03485012639942217,0.0,-0.027055702917771887,-0.03485012639942217,0.7647058823529411,0.37840637165613056,dp
5,0.610738255033557,0.5639327339327339,0.6015436081242533,0.5682077972400553,-0.07589453860640302,-0.3344481605351171,-0.17744471621823993,-0.07589453860640302,0.6681818181818182,0.39569805194805197,dp
6,0.6845637583892618,0.703024154589372,0.6958197371902284,0.6935254851246009,-0.006871609403254986,-0.26262626262626265,-0.13214669619226443,-0.006871609403254986,0.5528846153846154,0.33659268363215733,dp
7,0.6577181208053692,0.606484771767146,0.647249299719888,0.6196704016527156,-0.028222730739893204,-0.23504273504273498,-0.15729409479409476,-0.028222730739893204,0.6349206349206349,0.34592275877487144,dp
8,0.6241610738255033,0.6375596816976128,0.655095838069976,0.6130822821578632,0.00036075036075036704,0.027272727272727337,0.010215053763440896,0.00036075036075036704,0.7626262626262625,0.3660311085290246,dp
9,0.6510067114093959,0.631750179018976,0.6335434739552387,0.628970829465979,0.001444564824846506,-0.24444444444444446,-0.12247823860727088,0.001444564824846506,0.5357142857142857,0.26711309523809523,dp
10,0.5771812080536913,0.5664635124298316,0.6068908045977011,0.5764454852979443,0.11837837837837836,0.0,0.02955465587044534,0.11837837837837836,0.5587044534412955,0.3433159269548398,dp
