fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7248322147651006,0.715387967152673,0.7164094119976473,0.7093843802095111,0.010335917312661508,0.014285714285714346,0.006833642547928294,0.010335917312661508,0.5,0.2681818181818182,eo
2,0.610738255033557,0.6247845917523337,0.6240275087750543,0.6224484251101362,0.11445565969718817,0.23333333333333328,0.14495330459770112,0.11445565969718817,0.2982456140350877,0.14495330459770112,eo
3,0.7114093959731543,0.6909138655462185,0.6867392619479734,0.6799611205898214,0.05804701627486439,0.07777777777777783,0.030145719489981813,0.05804701627486439,0.5777777777777777,0.326031746031746,eo
4,0.6711409395973155,0.6316304189169465,0.6472166480862134,0.6334545454545455,0.033044420368364025,0.23076923076923073,0.10464190981432359,0.033044420368364025,0.8823529411764706,0.40231793992642595,eo
5,0.6577181208053692,0.6435364145658263,0.6467144563918757,0.6238300741802696,-0.009227871939736343,-0.19397993311036787,-0.08887835072130983,-0.009227871939736343,0.42727272727272725,0.2040356732701694,eo
6,0.6644295302013423,0.6860449545671927,0.6725460799012258,0.6731119503596363,0.029475587703435807,-0.1515151515151516,-0.06867227428494452,0.029475587703435807,0.42788461538461536,0.27409268363215733,eo
7,0.697986577181208,0.676031746031746,0.693747899159664,0.6785927887455563,0.00019069412662089946,-0.19658119658119655,-0.12764665889665888,0.00019069412662089946,0.5238095238095237,0.2588237759892689,eo
8,0.6308724832214765,0.6533709616728485,0.6642194012883669,0.6226101099219379,-0.025613275613275616,-0.07272727272727275,-0.04687194525904204,-0.025613275613275616,0.7979797979797979,0.3752332999346058,eo
9,0.6845637583892618,0.6642331450293015,0.6674034462269757,0.6627404943168489,0.04117009750812568,0.0,-0.00025601638504864355,0.04117009750812568,0.4107142857142857,0.20461309523809523,eo
10,0.5973154362416108,0.6041536098310292,0.6160622605363985,0.6055245124921569,0.11837837837837836,0.0,0.02955465587044534,0.11837837837837836,0.512987012987013,-0.2666312158666284,eo
