fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.4288,0.2927601924012194,0.2670342378573713,0.21368770050794403,0.01062949789064438,0.0014160294534125706,0.010037692830703437,0.01062949789064438,-0.10638297872340426,-0.0996105875049382,eo
2,0.464,0.25225295479468746,0.25428474881730123,0.19971395015690732,0.01695144006262317,0.04743083003952575,0.021351348825909444,0.01695144006262317,-0.07692307692307693,-0.0677948717948718,eo
3,0.4544,0.1147011308562197,0.24825174825174826,0.1569060773480663,0.004687541497357506,-0.010606060606060619,0.0029614325068870184,0.004687541497357506,-0.010606060606060619,-0.006738544474393531,eo
4,0.4256,0.2313402889245586,0.25135372835759123,0.15354837402081498,-0.003454646689613372,-0.014925373134328401,-0.005462686567164199,-0.003454646689613372,-0.014925373134328401,-0.005462686567164199,eo
5,0.4352,0.24974033237456056,0.24336689463019248,0.16192285705846274,0.031648959914293395,0.05652173913043479,0.03611083789387548,0.031648959914293395,0.05652173913043479,0.03611083789387548,eo
6,0.4272,0.3640145170295924,0.2622175544343842,0.18922123387989856,-0.006186171772924798,-0.009470616804273857,-0.006773769940598473,-0.006186171772924798,-0.08333333333333333,-0.03091863018032009,eo
7,0.453525641025641,0.3248916196118362,0.26097838650023114,0.2117726300692404,0.014614005541370156,0.029313045424032236,0.013913738331710501,0.014614005541370156,0.16666666666666666,0.12280701754385964,eo
8,0.4407051282051282,0.29443792035870614,0.25326633344725447,0.1967309824920657,-0.013898171006151205,-0.009652509652509633,-0.009906584830596976,-0.013898171006151205,-0.0821917808219178,-0.07662888533481677,eo
9,0.44551282051282054,0.19168573211314477,0.2516702794191882,0.17293028322440088,-0.0034567350579839395,-0.04229885057471272,-0.00952051668196402,-0.0034567350579839395,-0.05319148936170213,-0.04114600923111561,eo
10,0.4391025641025641,0.2101141924959217,0.2509799945931333,0.16104797916812164,0.004025764895330131,-0.030247076409038898,-0.0018155534136449214,0.004025764895330131,-0.030247076409038898,-0.0057445680975092735,eo
