fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6547811993517018,0.6507701230908036,0.6489463296619342,0.649462675340679,0.008657555896434688,0.10025763709974234,0.02467314972070836,0.008657555896434688,0.10025763709974234,-0.024673149720708415,eo
2,0.6580226904376013,0.6638916975620717,0.653493265993266,0.6505881816156677,-0.10429351012492671,-0.05506072874493928,-0.08185812562772554,-0.10429351012492671,0.10865552251051175,-0.08185812562772554,eo
3,0.6790923824959482,0.6721137088925605,0.6632007039230835,0.6648946675444372,-0.05568968292290355,-0.0032692955847657412,-0.030710734748904595,-0.05568968292290355,0.0581521739130435,0.030710734748904636,eo
4,0.7034035656401945,0.7015205525231146,0.6924889872528782,0.6940288598333446,0.0032768848067356027,0.05874469510833147,0.0241532753892173,0.0032768848067356027,0.05874469510833147,-0.0241532753892173,eo
5,0.6774716369529984,0.6801711065341873,0.6682625237793278,0.6676627338254122,-0.028358136603810147,0.06660265027847123,0.016393112578849123,-0.028358136603810147,0.06660265027847123,-0.01639311257884915,eo
6,0.6726094003241491,0.6789615613145025,0.6650960301899521,0.6628451783240997,-0.06431794515793121,0.006611570247933907,-0.05223477001157681,-0.06431794515793121,0.11108111027108764,0.05223477001157688,eo
7,0.6499189627228525,0.6530221323446803,0.6435247629083245,0.6414180550174351,0.06537896758161077,0.12407756319673413,0.08717904342043492,0.06537896758161077,0.12407756319673413,-0.08717904342043495,eo
8,0.6704545454545454,0.669949494949495,0.6576733437696346,0.6576794097920858,-0.04744193935282215,0.03058353080568721,-0.009966038387568904,-0.04744193935282215,0.050515607580824906,-0.009966038387568904,eo
9,0.663961038961039,0.6633363370128407,0.6540447230041961,0.653905344555697,-0.021073146963883405,0.016205533596837962,-0.0030290739976009118,-0.021073146963883405,0.02226368159203973,-0.0030290739976009118,eo
10,0.6396103896103896,0.6325284861638633,0.6254977520873475,0.6258822756967926,0.08866995073891626,0.17717086834733897,0.10885570444393974,0.08866995073891626,0.17717086834733897,-0.10885570444393977,eo
