fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.82,0.7916431394692264,0.7508499271491015,0.7661122661122661,-0.02631578947368418,0.02840909090909094,-0.012581168831168804,eo
2,0.74,0.6875,0.6428571428571428,0.6533333333333333,-0.2551381998582566,-0.1637931034482759,-0.321896551724138,eo
3,0.72,0.6736596736596736,0.6369485294117647,0.6448503297818367,0.03737191078963231,0.04944178628389151,0.10199362041467303,eo
4,0.77,0.70625,0.667427701674277,0.6801557502433597,-0.20833333333333337,-0.1284722222222222,-0.14995039682539682,eo
5,0.72,0.6533333333333333,0.6396308887809616,0.6448503297818367,-0.25,-0.16976127320954904,-0.26020531192944985,eo
6,0.67,0.6485036702428006,0.6116298811544991,0.6108031607500884,0.03529411764705892,-0.023809523809523725,0.08388067870826499,eo
7,0.7,0.5654008438818565,0.5612648221343874,0.5629370629370629,-0.3848334514528703,-0.5490196078431373,-0.3286764705882353,eo
8,0.82,0.83125,0.7435661764705883,0.7661122661122661,0.10840108401084003,-0.034391534391534306,0.14351851851851857,eo
9,0.77,0.6918859649122806,0.6866666666666668,0.6891471820516286,0.02168021680216803,0.05384615384615388,0.13354072398190048,eo
10,0.71,0.680921052631579,0.6450549450549451,0.6514004087029691,-0.1228070175438597,0.045454545454545525,-0.03679653679653677,eo
