fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.581081081081081,0.6606114750843756,0.6342524625133321,0.5799949609473419,-0.01773913043478259,-0.25,-0.11791237113402062,cp
2,0.6824324324324325,0.7296296296296297,0.6977213471909711,0.6771118355305936,0.25983739837398373,0.24615384615384617,0.17909066878139043,cp
3,0.6418918918918919,0.6793154761904763,0.6601010101010101,0.6323762232181315,-0.07792737658098736,-0.16770186335403725,-0.1695427555763897,cp
4,0.6802721088435374,0.7270114942528735,0.6859557109557111,0.6770888535594418,0.04369918699186992,0.0035842293906810374,-0.011613682406108772,cp
5,0.5918367346938775,0.6476489028213166,0.6377543344005318,0.5870870483761235,-0.09208015267175573,-0.24675324675324684,-0.2283715265366642,cp
6,0.5918367346938775,0.6793103448275861,0.683684794672586,0.5866114561766734,-0.03438914027149326,0.0,0.0062893081761006275,cp
7,0.8231292517006803,0.8156565656565657,0.8102873300872387,0.8070207570207572,0.24125874125874125,0.1515151515151516,0.10242424242424247,cp
8,0.6326530612244898,0.6964285714285715,0.6418621001954335,0.629236098759902,-0.01296296296296301,0.034965034965035,-0.06895365273024845,cp
9,0.6054421768707483,0.6483563748079878,0.606445964936531,0.6106654783125371,0.03854545454545455,-0.05714285714285716,0.004761904761904773,cp
10,0.6258503401360545,0.6730072463768115,0.6641583054626533,0.6101059737423373,0.007936507936507908,0.33333333333333337,0.10059523809523813,cp
