fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.7972972972972973,0.8461538461538461,0.849582784365393,0.8073995771670189,0.0977391304347826,0.0,0.027384020618556715,cp
2,0.8581081081081081,0.8771929824561404,0.8831029679631416,0.8565758429898737,0.06601626016260165,0.0,-0.06975945017182131,cp
3,0.8445945945945946,0.8553459119496855,0.8824786324786325,0.8377276094669942,0.07221542227662175,0.0,-0.06210691823899372,cp
4,0.8639455782312925,0.8888888888888888,0.8731934731934731,0.8601486563750714,0.25914634146341464,0.0,0.12391304347826088,cp
5,0.7891156462585034,0.8277777777777778,0.8470826991374936,0.7927610030163098,0.10305343511450382,0.0,-0.08205912334352702,cp
6,0.6598639455782312,0.7807017543859649,0.7479652238253793,0.6552644921893611,-0.25203619909502256,0.0,-0.12169811320754717,cp
7,0.8367346938775511,0.85431675242996,0.8700547778454046,0.8296804957008388,0.1061665607120153,0.0,-0.07666666666666666,cp
8,0.8163265306122449,0.8504111321948135,0.8355677105677106,0.8106782106782107,0.027777777777777735,0.038461538461538436,-0.0824979541734861,cp
9,0.8027210884353742,0.8581983518044899,0.8157209666643629,0.7948708417155018,-0.017454545454545445,0.02857142857142858,-0.0246031746031746,cp
10,0.7414965986394558,0.8020833333333334,0.8101077666295057,0.7369515669515669,-0.06349206349206349,0.0,-0.07291666666666666,cp
