fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,1.0,1.0,1.0,1.0,0.08034782608695654,0.0,0.0,eo
2,0.9932432432432432,0.9946236559139785,0.9907407407407408,0.9925951372189777,0.19674796747967482,0.038461538461538436,0.019230769230769218,eo
3,1.0,1.0,1.0,1.0,0.19012647898816806,0.0,0.0,eo
4,1.0,1.0,1.0,1.0,0.12296747967479676,0.0,0.0,eo
5,1.0,1.0,1.0,1.0,0.2695610687022901,0.0,0.0,eo
6,1.0,1.0,1.0,1.0,-0.06696832579185522,0.0,0.0,eo
7,0.9931972789115646,0.9938271604938271,0.9946236559139785,0.9941747081022211,0.2495232040686586,0.0,0.0,eo
8,0.9863945578231292,0.9851430377746168,0.9848181514848182,0.9849258736861085,0.1907407407407407,0.038461538461538436,0.013911620294599004,eo
9,0.9931972789115646,0.9937106918238993,0.9920634920634921,0.9928093325683687,0.04618181818181816,0.02857142857142858,0.01428571428571429,eo
10,0.9931972789115646,0.9876543209876543,0.9935897435897436,0.9904744458692069,0.06349206349206349,0.0,-0.004761904761904762,eo
