fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.46,0.45716475095785436,0.38996358080409804,0.38211091375077116,0.2596114096734187,0.13131313131313127,0.11990748977050344,0.2596114096734187,-0.375,-0.2275,cp
2,0.345,0.34579215686274506,0.30032990974167445,0.2800455038901576,0.25960278253856234,0.26363636363636367,0.2280195113528447,0.25960278253856234,0.26363636363636367,0.2280195113528447,cp
3,0.355,0.4301665654606831,0.3543062200956938,0.3281173108561644,0.22093023255813948,0.2416666666666667,0.19697888589398027,0.22093023255813948,0.2416666666666667,0.19697888589398027,cp
4,0.435,0.505281803542673,0.3995373317013464,0.39523279958749674,0.1040936843158844,0.02657807308970106,-0.006155407899593929,0.1040936843158844,0.20842105263157892,0.1498454469507101,cp
5,0.3417085427135678,0.4316471163245357,0.3264141414141414,0.30022569185465114,0.17284701114488354,0.17948717948717952,0.138986013986014,0.17284701114488354,-0.295,-0.13994186046511628,cp
6,0.36683417085427134,0.40627304997234004,0.3488498900823672,0.323363225602557,0.0680161943319838,0.9024390243902439,0.38593533400771796,0.0680161943319838,0.9024390243902439,0.38593533400771796,cp
7,0.35175879396984927,0.3891907581562754,0.3454101161995899,0.3286222537566835,0.15535353535353535,0.5523809523809524,0.2757631257631258,0.15535353535353535,0.5523809523809524,0.2757631257631258,cp
8,0.3969849246231156,0.41329365079365077,0.3520416710660613,0.34267083983991736,0.215050505050505,0.2863636363636364,0.1873230701882387,0.215050505050505,-0.34375,-0.22411380597014924,cp
9,0.34673366834170855,0.4106486689163854,0.3330155596543246,0.30155708520346036,0.15717171717171707,0.23076923076923084,0.13703409992069787,0.15717171717171707,0.23076923076923084,0.13703409992069787,cp
10,0.33668341708542715,0.3743726689218493,0.3382995066948556,0.2960128227808066,0.19484848484848483,0.04659498207885304,0.08875642823749416,0.19484848484848483,-0.3,-0.18832362169430747,cp
