fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.535,0.47101718403547677,0.4690253129908302,0.4634342538492616,0.5502273666804465,0.6303030303030304,0.4623574294807172,eo
2,0.535,0.5115705271082845,0.512250233426704,0.5027440331270056,0.3910676479483819,0.21818181818181825,0.23359233359233364,eo
3,0.5,0.4768916072183759,0.4992424242424242,0.47679961997753273,0.3918808649530804,0.33333333333333337,0.2854335130278527,eo
4,0.545,0.5059343085425928,0.5133744297318349,0.5067335146619034,0.4029626663997598,0.5514950166112957,0.35908084163898124,eo
5,0.457286432160804,0.41400895523819115,0.4316161616161616,0.4142140811756324,0.41013171225937184,0.6282051282051282,0.4334207459207459,eo
6,0.5226130653266332,0.48493609565038137,0.4873677331500847,0.481508967223253,0.47803643724696354,0.8048780487804879,0.5450401508623381,eo
7,0.47738693467336685,0.4584452333178988,0.4811152882205514,0.4600257125115837,0.418989898989899,0.5238095238095237,0.3922466422466422,eo
8,0.542713567839196,0.5178278579473432,0.522078860615446,0.5097924108262704,0.32858585858585854,0.19545454545454544,0.15992630964541077,eo
9,0.507537688442211,0.47157072946546635,0.4812333534511447,0.46482205080143224,0.3948484848484849,0.48717948717948717,0.3356859635210151,eo
10,0.4472361809045226,0.41734227521112766,0.4465708245243129,0.41852148966247543,0.4692929292929293,0.6021505376344085,0.4600124668848371,eo
