fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6084656084656085,0.5120181405895692,0.48137757603777026,0.4453441866337018,0.008045977011494232,0.0871794871794872,0.0009971509971510167,cp
2,0.5555555555555556,0.43861728395061733,0.4361901840042659,0.4106983702571938,0.029263005780346796,0.16756756756756752,0.05336934528110997,cp
3,0.582010582010582,0.4722783389450056,0.45176194146002385,0.4485421617496474,-0.07708978328173374,0.036363636363636376,-0.05116124751161247,cp
4,0.5661375661375662,0.48041860621080895,0.4754927612070469,0.45768899036022326,0.0005238344683080043,0.08064516129032256,-0.011529271206690568,cp
5,0.5132275132275133,0.5056795926361143,0.4712002096436058,0.4743901693139421,0.16036772216547496,0.34285714285714286,0.13296703296703297,cp
6,0.5212765957446809,0.4358353510895883,0.45726495726495725,0.4195752908624195,-0.051136363636363646,-0.20317460317460317,-0.11990791227432449,cp
7,0.5904255319148937,0.44065243423411055,0.44306306306306303,0.4273340160436934,0.031215772179627593,-0.2571428571428572,-0.08679060665362036,cp
8,0.3829787234042553,0.4033659012382416,0.3851095993953137,0.36362954454363683,-0.09011627906976744,-0.12030075187969924,-0.10534108904101049,cp
9,0.4946808510638298,0.37686080559041363,0.3871295886775763,0.36172782476504034,-0.04360465116279069,0.26315789473684215,0.05695208169677929,cp
10,0.5425531914893617,0.41506337423622686,0.4206060606060606,0.4086082259471233,0.19190751445086707,0.11794871794871797,0.16569077688480677,cp
